SettlementPoint,Year,Month,AveragePrice
HB_BUSAVG,2016,1,19.209301075268822
HB_BUSAVG,2016,2,15.288247126436788
HB_BUSAVG,2016,3,16.755625841184376
HB_BUSAVG,2016,4,18.289347222222197
HB_BUSAVG,2016,5,18.15958333333335
HB_BUSAVG,2016,6,23.90981944444443
HB_BUSAVG,2016,7,27.187473118279588
HB_BUSAVG,2016,8,30.567137096774225
HB_BUSAVG,2016,9,26.861750000000033
HB_BUSAVG,2016,10,25.2048387096774
HB_BUSAVG,2016,11,19.244902777777792
HB_BUSAVG,2016,12,25.31830645161287
HB_BUSAVG,2017,1,23.25278225806453
HB_BUSAVG,2017,2,20.1178273809524
HB_BUSAVG,2017,3,22.569892328398367
HB_BUSAVG,2017,4,23.70508333333335
HB_BUSAVG,2017,5,25.087352150537626
HB_BUSAVG,2017,6,27.669152777777793
HB_BUSAVG,2017,7,31.45427419354836
HB_BUSAVG,2017,8,27.50701612903228
HB_BUSAVG,2017,9,24.18416666666669
HB_BUSAVG,2017,10,23.563279569892487
HB_BUSAVG,2017,11,22.677458333333327
HB_BUSAVG,2017,12,21.187956989247333
HB_BUSAVG,2018,1,37.86967741935482
HB_BUSAVG,2018,2,21.854315476190465
HB_BUSAVG,2018,3,22.561978465679648
HB_BUSAVG,2018,4,23.142958333333308
HB_BUSAVG,2018,5,34.00524193548385
HB_BUSAVG,2018,6,29.96612499999997
HB_BUSAVG,2018,7,78.85944892473117
HB_BUSAVG,2018,8,31.661559139784913
HB_BUSAVG,2018,9,27.17544444444446
HB_BUSAVG,2018,10,29.95782258064515
HB_BUSAVG,2018,11,30.644499999999972
HB_BUSAVG,2018,12,30.268185483870955
HB_BUSAVG,2019,1,24.59256720430107
HB_BUSAVG,2019,2,21.186369047619046
HB_BUSAVG,2019,3,27.565720053835797
HB_BUSAVG,2019,4,22.613180555555562
HB_BUSAVG,2019,5,23.959932795698922
HB_BUSAVG,2019,6,25.08554166666668
HB_BUSAVG,2019,7,29.72962365591398
HB_BUSAVG,2019,8,126.38408602150527
HB_BUSAVG,2019,9,79.61562499999994
HB_BUSAVG,2019,10,28.247056451612934
HB_BUSAVG,2019,11,23.46837500000001
HB_BUSAVG,2019,12,18.715080645161272
HB_HOUSTON,2016,1,19.565725806451617
HB_HOUSTON,2016,2,15.464540229885062
HB_HOUSTON,2016,3,17.12495289367428
HB_HOUSTON,2016,4,18.940958333333334
HB_HOUSTON,2016,5,19.17408602150539
HB_HOUSTON,2016,6,26.255736111111084
HB_HOUSTON,2016,7,29.53892473118277
HB_HOUSTON,2016,8,32.9725403225807
HB_HOUSTON,2016,9,28.742416666666674
HB_HOUSTON,2016,10,28.24955645161289
HB_HOUSTON,2016,11,20.36593055555555
HB_HOUSTON,2016,12,25.727661290322622
HB_HOUSTON,2017,1,24.78185483870971
HB_HOUSTON,2017,2,23.265714285714306
HB_HOUSTON,2017,3,28.21329744279944
HB_HOUSTON,2017,4,32.295736111111104
HB_HOUSTON,2017,5,31.533172043010744
HB_HOUSTON,2017,6,33.16834722222224
HB_HOUSTON,2017,7,34.37583333333333
