Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_HUBAVG,2016-01-01,18.42,16.14,15.6,15.61,15.94,16.68,18.96,19.18,19.08,19.66,20.59,20.6,20.3,20.07,19.09,19.34,20.07,24.95,26.25,23.24,22.79,21.36,20.31,19.65
HB_HUBAVG,2016-01-02,18.99,17.94,17.15,16.99,17.89,17.64,20.11,21.33,23.4,24.86,23.39,21.84,20.78,19.68,18.29,17.94,19.34,23.47,23.47,21.72,20.73,19.97,19.87,18.42
HB_HUBAVG,2016-01-03,17.44,16.46,16.18,16.35,17.01,17.7,19.28,20.04,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.97,16.98,21.26,21.87,20.88,20.25,19.69,18.78,18.14
HB_HUBAVG,2016-01-04,17.01,17.07,17.47,18.0,19.34,21.78,53.69,35.84,24.4,23.82,21.89,20.3,19.04,17.51,16.44,16.52,17.43,23.0,27.38,22.92,22.65,21.52,20.39,18.72
HB_HUBAVG,2016-01-05,15.89,15.88,15.99,16.51,18.0,21.19,48.8,29.81,22.98,22.67,21.5,20.61,19.75,19.08,18.02,17.63,18.48,22.63,22.7,21.92,21.0,19.64,18.61,17.11
HB_HUBAVG,2016-01-06,12.6,10.69,10.28,11.67,13.68,17.35,23.4,21.76,20.5,20.43,20.82,19.69,18.66,18.86,18.48,17.67,18.43,24.96,24.24,21.39,19.98,18.64,16.82,15.64
HB_HUBAVG,2016-01-07,14.44,11.11,10.67,11.0,12.74,14.96,21.42,21.52,19.94,19.65,19.83,16.79,16.56,16.31,15.65,15.66,16.19,23.01,22.18,20.79,19.78,17.97,15.88,14.85
HB_HUBAVG,2016-01-08,15.44,14.03,14.03,14.03,15.1,17.53,22.81,22.39,21.42,21.31,20.63,18.69,17.38,17.24,16.57,16.53,17.61,23.51,22.0,20.27,19.66,17.95,17.49,16.51
HB_HUBAVG,2016-01-09,16.11,14.51,14.11,13.98,14.13,13.42,17.0,19.75,20.24,21.56,22.11,20.47,18.16,17.91,17.39,17.54,18.9,23.93,23.69,23.49,22.17,21.57,20.9,19.23
HB_HUBAVG,2016-01-10,18.21,17.16,17.6,17.87,19.48,20.9,23.41,23.71,27.46,26.4,23.51,21.05,20.4,19.56,18.05,18.04,18.59,23.52,22.99,22.81,22.48,21.2,19.74,18.06
HB_HUBAVG,2016-01-11,16.71,16.7,16.7,17.55,19.5,21.83,54.53,39.82,23.91,23.42,22.15,20.87,20.16,19.36,18.71,18.62,18.54,24.14,26.67,24.29,22.81,21.57,19.8,18.48
HB_HUBAVG,2016-01-12,16.47,16.0,15.65,16.12,17.08,20.57,37.81,25.99,21.99,21.61,21.26,19.51,18.7,17.68,17.14,16.81,16.49,21.53,22.14,21.46,20.65,19.85,18.65,17.39
HB_HUBAVG,2016-01-13,16.28,15.19,14.77,14.92,16.56,21.03,32.51,25.98,21.58,21.21,20.85,20.05,18.85,18.68,17.74,16.76,16.72,21.04,21.87,20.54,19.3,18.16,17.37,16.26
HB_HUBAVG,2016-01-14,13.37,11.15,11.24,12.58,14.07,18.95,25.1,23.16,20.81,20.2,20.44,19.32,18.27,17.76,17.21,16.14,16.09,21.38,20.94,19.95,18.25,17.15,16.9,15.47
HB_HUBAVG,2016-01-15,12.62,11.02,11.95,12.54,14.51,17.29,26.15,21.64,20.55,21.13,22.48,19.95,19.4,19.18,18.92,18.2,17.76,23.54,24.92,20.66,19.31,18.64,17.5,17.12
HB_HUBAVG,2016-01-16,14.8,13.88,13.25,13.66,14.28,16.79,17.22,18.0,18.27,18.78,17.81,16.21,15.23,14.77,14.71,15.5,17.88,25.34,27.98,23.96,21.69,21.1,20.23,19.29
HB_HUBAVG,2016-01-17,19.46,18.08,18.99,18.99,19.99,21.78,24.69,24.99,26.0,27.71,22.09,19.94,18.29,17.26,16.26,15.98,16.71,20.66,23.98,21.13,19.15,18.78,18.02,17.43
HB_HUBAVG,2016-01-18,18.99,19.21,19.08,19.21,19.97,23.65,41.78,39.85,28.56,25.65,24.62,22.32,20.48,19.87,18.81,18.12,18.27,25.18,27.61,22.37,19.32,18.52,17.16,16.38
HB_HUBAVG,2016-01-19,12.19,10.06,11.0,11.84,14.02,18.55,26.43,24.01,20.18,19.81,19.17,18.15,17.43,17.42,16.83,16.71,17.18,22.76,22.6,21.54,20.35,18.14,16.82,17.15
HB_HUBAVG,2016-01-20,15.51,15.15,15.28,16.2,18.04,21.21,34.32,27.73,22.57,21.39,20.67,19.72,19.18,19.17,18.21,17.61,17.5,20.48,20.36,18.65,17.11,16.77,15.7,14.68
HB_HUBAVG,2016-01-21,13.25,11.27,10.9,12.54,13.51,16.01,29.48,21.0,18.88,17.23,17.09,16.69,16.13,15.77,15.63,15.4,15.8,21.97,22.47,21.26,20.73,18.69,17.4,17.78
HB_HUBAVG,2016-01-22,16.52,14.81,15.05,15.83,19.2,20.71,43.16,33.6,25.75,25.91,21.48,20.28,19.11,17.75,17.34,16.84,18.04,30.92,35.59,28.56,25.55,23.79,19.13,18.17
HB_HUBAVG,2016-01-23,18.98,17.6,16.95,16.98,18.66,20.76,28.76,30.41,32.97,25.43,22.35,20.4,19.8,18.04,16.69,15.93,15.89,19.39,22.44,19.87,18.84,17.33,16.15,16.34
HB_HUBAVG,2016-01-24,14.38,13.76,13.73,13.87,14.63,16.12,19.52,20.88,23.32,20.98,17.23,16.83,15.06,14.51,13.18,12.74,14.44,17.68,20.75,17.48,16.82,16.28,14.62,12.89
HB_HUBAVG,2016-01-25,6.99,6.82,9.13,11.09,12.19,15.7,23.33,20.58,19.68,21.25,20.0,16.99,16.66,16.41,16.44,15.8,16.31,29.55,30.13,23.18,20.44,18.63,17.33,16.07
HB_HUBAVG,2016-01-26,12.77,12.61,12.27,13.13,15.05,18.68,30.07,25.5,21.18,21.45,19.83,19.18,18.41,17.91,17.16,16.91,17.22,34.03,34.52,31.5,24.52,21.95,19.53,18.1
HB_HUBAVG,2016-01-27,15.49,15.08,15.22,15.64,17.68,24.45,54.45,35.94,27.99,23.77,21.26,19.82,18.57,17.99,16.94,16.48,16.64,25.88,26.44,23.92,20.57,19.76,17.71,16.85
HB_HUBAVG,2016-01-28,14.11,13.78,14.26,14.7,16.66,24.68,50.99,34.03,23.5,21.52,20.63,19.77,18.06,17.28,16.46,16.2,16.2,22.7,25.19,20.73,19.25,17.94,16.51,15.47
HB_HUBAVG,2016-01-29,13.08,12.2,11.92,12.93,14.04,20.49,40.69,26.12,20.29,19.38,17.15,16.61,14.85,14.59,14.38,13.92,14.32,20.63,20.15,16.26,15.42,14.74,14.41,11.42
HB_HUBAVG,2016-01-30,14.0,13.12,12.69,13.19,14.24,15.06,15.91,18.53,20.96,21.55,22.29,17.8,16.06,15.33,14.67,13.62,13.69,16.98,18.57,15.38,14.62,13.73,11.11,8.69
HB_HUBAVG,2016-01-31,5.87,5.4,5.38,5.18,5.13,5.14,9.38,11.26,13.83,15.39,15.66,15.89,18.72,19.79,19.4,21.23,23.49,30.05,38.0,24.99,21.57,17.54,15.91,14.06
HB_HUBAVG,2016-02-01,9.72,6.3,5.55,8.89,9.24,17.33,25.03,20.26,18.15,17.99,17.33,15.24,14.65,14.46,14.02,14.64,14.8,22.42,26.22,18.49,16.44,15.21,12.36,9.74
HB_HUBAVG,2016-02-02,5.31,4.94,4.97,5.02,8.66,11.92,16.88,16.56,16.2,16.26,16.64,15.01,15.01,15.55,15.57,15.68,15.85,22.7,33.71,21.21,17.94,17.24,16.05,14.99
HB_HUBAVG,2016-02-03,11.21,11.53,12.09,13.17,14.22,19.76,34.5,23.24,19.68,17.99,15.78,15.68,14.93,14.79,14.51,14.23,14.66,20.76,35.07,22.78,20.05,18.04,16.57,15.9
HB_HUBAVG,2016-02-04,13.25,13.63,13.82,14.87,16.76,20.46,50.9,34.78,22.17,18.78,17.69,16.0,15.3,14.88,14.1,14.12,14.58,18.44,25.56,19.25,17.95,16.64,14.77,13.22
HB_HUBAVG,2016-02-05,10.51,7.75,8.76,9.44,12.31,16.76,33.47,22.2,16.99,15.41,13.96,14.5,14.09,14.26,13.95,13.77,14.71,17.65,24.03,17.69,16.68,15.66,15.86,15.18
HB_HUBAVG,2016-02-06,12.04,11.52,11.61,12.14,12.95,15.48,17.48,21.27,23.63,23.54,19.23,17.0,14.74,14.18,13.47,13.1,14.0,18.65,27.98,18.03,15.93,15.14,14.93,13.59
HB_HUBAVG,2016-02-07,11.97,10.37,9.52,10.5,12.08,14.52,16.33,19.75,23.22,21.98,17.65,16.21,15.59,14.66,13.36,12.97,13.02,15.75,19.52,18.0,17.44,16.04,14.01,12.98
HB_HUBAVG,2016-02-08,9.77,10.13,10.71,11.89,13.68,17.31,28.86,24.7,19.85,17.78,15.6,14.38,13.85,13.34,13.21,13.23,13.58,16.24,24.72,22.34,18.94,17.82,16.31,14.73
