Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_NORTH,2016-01-01,18.43,16.17,15.64,15.65,15.97,16.74,18.98,19.19,19.1,19.69,20.62,20.63,20.32,20.07,19.1,19.35,20.07,25.0,26.3,23.28,22.82,21.38,20.33,19.67
HB_NORTH,2016-01-02,19.0,17.95,17.17,17.01,17.91,17.66,20.12,21.36,23.48,24.97,23.46,21.86,20.8,19.68,18.29,17.96,19.35,23.53,23.52,21.75,20.74,19.98,19.88,18.43
HB_NORTH,2016-01-03,17.44,16.46,16.18,16.36,17.01,17.7,19.28,20.03,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.96,16.98,21.27,21.89,20.89,20.25,19.69,18.78,18.15
HB_NORTH,2016-01-04,17.01,17.08,17.47,18.0,19.34,21.82,53.91,35.95,24.56,23.92,21.89,20.29,19.03,17.5,16.43,16.51,17.43,23.05,27.45,22.96,22.66,21.56,20.39,18.73
HB_NORTH,2016-01-05,15.89,15.88,16.0,16.5,18.0,21.23,49.04,30.0,23.07,22.73,21.5,20.6,19.74,19.07,18.01,17.62,18.49,22.68,22.77,21.97,21.01,19.64,18.61,17.11
HB_NORTH,2016-01-06,12.6,10.69,10.28,11.67,13.68,17.35,23.41,21.77,20.5,20.44,20.83,19.7,18.66,18.86,18.48,17.66,18.43,24.96,24.23,21.39,19.98,18.64,16.82,15.64
HB_NORTH,2016-01-07,14.43,11.11,10.67,11.0,12.74,14.96,21.41,21.5,19.91,19.62,19.8,16.79,16.56,16.31,15.65,15.66,16.19,22.9,22.16,20.78,19.69,17.95,15.85,14.83
HB_NORTH,2016-01-08,15.45,14.04,14.04,14.04,15.11,17.54,22.81,22.39,21.42,21.32,20.63,18.69,17.38,17.24,16.57,16.53,17.61,23.48,22.0,20.26,19.66,17.95,17.49,16.51
HB_NORTH,2016-01-09,16.14,14.54,14.15,14.03,14.18,13.48,17.03,19.76,20.28,21.6,22.15,20.5,18.17,17.92,17.39,17.53,18.88,23.93,23.7,23.49,22.18,21.58,20.91,19.24
HB_NORTH,2016-01-10,18.26,17.21,17.64,17.9,19.51,20.94,23.47,23.78,27.53,26.43,23.52,21.05,20.41,19.56,18.05,18.04,18.59,23.53,23.0,22.83,22.48,21.2,19.74,18.06
HB_NORTH,2016-01-11,16.71,16.7,16.7,17.55,19.5,21.85,54.59,39.11,23.41,22.74,21.9,20.51,20.0,19.07,18.51,18.46,18.29,23.0,25.36,23.0,21.99,21.07,19.23,18.33
HB_NORTH,2016-01-12,16.46,16.0,15.66,16.13,17.09,20.0,37.24,25.37,21.56,20.99,20.65,19.15,18.51,17.46,16.96,16.63,16.25,20.36,21.53,20.96,20.13,19.68,18.49,17.34
HB_NORTH,2016-01-13,15.96,14.89,14.45,14.61,16.19,20.18,30.93,24.66,20.76,20.6,20.23,19.86,18.76,18.62,17.67,16.66,16.6,20.79,21.68,20.37,19.22,18.1,17.31,16.2
HB_NORTH,2016-01-14,13.32,11.07,11.24,12.56,14.04,18.72,24.37,21.94,19.65,19.16,19.37,18.6,17.58,17.1,16.49,15.38,15.28,19.68,20.32,19.44,17.87,16.94,16.68,15.32
