Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_PAN,2019-04-06,15.51,16.57,15.51,14.91,17.75,20.11,18.6,18.24,20.06,21.88,23.42,22.96,20.77,20.0,22.41,22.9,27.06,27.28,27.13,27.39,27.03,18.24,18.55,17.41
HB_PAN,2019-04-07,18.52,17.15,16.73,16.13,16.68,17.92,17.31,18.91,20.37,20.54,21.29,20.66,19.38,20.27,24.14,24.89,28.1,30.87,30.61,37.1,43.14,27.53,27.33,21.37
HB_PAN,2019-04-08,18.99,17.98,17.42,17.58,18.65,21.71,26.19,20.53,22.7,25.84,27.23,31.05,32.61,37.7,47.14,74.65,94.59,81.54,48.48,49.52,43.94,32.95,27.15,21.3
HB_PAN,2019-04-09,20.01,18.04,16.5,15.99,16.59,19.01,21.09,20.97,21.07,24.91,28.55,29.75,31.4,38.49,46.36,89.53,99.64,97.66,32.58,25.28,8.56,2.01,1.63,-1.26
HB_PAN,2019-04-10,-1.47,-1.56,-1.77,-1.57,-0.34,0.85,5.92,6.17,6.84,7.01,4.53,4.4,3.21,9.95,2.98,18.0,37.32,29.82,20.1,15.52,15.12,12.02,10.66,7.88
HB_PAN,2019-04-11,-0.08,-0.05,-1.87,-0.07,1.31,5.12,14.31,10.36,11.81,11.65,15.09,18.83,20.27,23.02,30.32,32.66,48.69,39.86,28.98,35.49,34.0,22.9,21.93,19.54
HB_PAN,2019-04-12,18.83,17.52,16.28,15.93,16.68,23.88,26.97,21.38,21.83,24.23,23.68,22.04,21.83,22.88,27.25,27.5,43.19,28.97,19.93,17.54,15.0,12.68,13.85,13.97
HB_PAN,2019-04-13,10.97,10.39,9.27,9.26,9.52,11.31,13.17,14.56,14.4,16.29,18.8,14.62,11.37,7.79,3.76,3.73,4.8,6.12,9.9,15.46,20.18,18.78,16.55,15.44
HB_PAN,2019-04-14,17.69,17.6,17.54,17.46,18.09,19.48,22.71,23.58,29.26,31.32,29.69,28.56,23.6,22.48,19.73,18.0,16.39,18.07,17.27,19.25,16.57,12.74,9.71,2.15
HB_PAN,2019-04-15,0.01,-0.05,-0.33,-0.03,1.88,3.09,13.8,9.25,12.56,12.99,11.4,9.25,6.32,5.65,3.5,4.89,4.72,4.54,3.88,5.14,5.46,2.01,1.43,-0.39
HB_PAN,2019-04-16,-4.65,-4.94,-5.16,-4.69,-4.2,-2.9,2.35,4.46,4.58,7.93,8.51,8.84,8.96,9.73,7.84,14.73,6.23,3.96,1.69,1.73,1.95,0.31,-0.15,-2.09
HB_PAN,2019-04-17,-6.09,-5.27,-6.2,-5.0,-4.53,2.43,8.23,11.93,13.13,13.45,16.6,17.2,16.38,12.55,9.85,16.68,12.48,10.43,14.52,18.51,19.24,10.44,5.2,1.84
HB_PAN,2019-04-18,11.63,10.55,4.76,0.05,-0.23,-0.36,0.15,-0.01,0.1,-1.08,-0.96,-0.9,-0.81,1.15,0.86,1.97,5.61,11.74,15.57,22.46,34.46,25.52,21.25,19.44
HB_PAN,2019-04-19,16.2,15.19,14.27,15.36,15.92,16.92,22.07,21.57,20.81,20.34,20.18,21.11,21.16,22.23,22.68,23.48,31.37,35.25,33.21,34.16,37.24,26.12,21.92,19.32
HB_PAN,2019-04-20,20.49,17.56,16.75,11.98,9.66,9.77,12.56,13.38,18.39,18.79,19.31,17.84,17.96,13.1,13.42,17.96,19.37,16.01,13.76,11.42,5.08,2.03,-1.06,-1.69
HB_PAN,2019-04-21,-1.83,-2.37,-2.73,-2.42,-1.56,-0.15,-0.13,1.4,6.38,9.73,10.31,13.94,14.27,14.03,14.03,14.52,17.48,19.6,20.35,19.71,29.23,12.44,9.16,2.94
HB_PAN,2019-04-22,8.4,6.57,6.58,8.25,10.01,15.87,14.93,18.05,18.94,19.68,20.72,22.9,23.6,27.11,29.1,37.57,49.03,39.46,27.07,24.04,29.3,24.58,22.33,19.36
HB_PAN,2019-04-23,19.72,17.7,16.89,15.93,15.95,19.06,21.82,20.35,20.46,22.31,23.6,23.61,22.31,24.85,29.23,34.86,43.2,32.6,28.54,28.21,38.16,22.69,22.9,20.4
HB_PAN,2019-04-24,19.71,18.78,18.11,17.97,18.53,19.87,25.56,24.19,24.62,25.07,22.94,24.3,24.73,27.49,30.92,32.29,37.38,32.74,30.58,32.72,52.25,30.0,30.61,24.18
HB_PAN,2019-04-25,20.71,19.32,17.94,16.97,17.48,19.45,27.61,26.52,25.4,23.04,24.5,23.43,16.5,21.64,23.62,27.24,45.26,44.08,38.98,32.57,42.02,28.93,26.12,21.64
HB_PAN,2019-04-26,13.81,14.3,13.97,13.6,14.13,17.87,23.5,22.21,22.13,21.08,20.53,18.27,10.71,9.95,9.06,9.81,10.18,5.02,-2.64,-5.14,-6.12,-9.77,-10.03,-13.13
HB_PAN,2019-04-27,-17.12,-17.68,-18.4,-17.12,-15.66,-16.6,-19.01,-12.8,-9.99,3.26,9.48,14.35,15.3,19.02,25.6,35.1,50.22,41.46,29.14,10.28,10.26,10.83,10.68,10.03
HB_PAN,2019-04-28,7.46,7.07,6.49,7.74,10.29,12.55,16.54,19.06,20.41,21.77,23.34,25.96,23.01,27.06,24.39,17.76,5.55,4.5,1.14,0.92,2.32,-3.48,-9.09,-10.01
HB_PAN,2019-04-29,-10.94,-11.18,-11.31,-10.88,-1.45,5.02,9.39,11.47,14.89,5.01,7.38,11.62,15.18,23.79,28.57,36.78,60.3,40.17,30.85,26.86,23.28,20.93,21.14,18.67
HB_PAN,2019-04-30,18.8,16.59,15.5,13.78,12.85,15.77,18.33,20.58,13.77,10.9,11.15,10.51,14.31,5.32,17.17,21.44,26.2,9.9,10.03,4.19,11.29,9.87,7.51,7.5
HB_PAN,2019-05-01,25.43,22.31,18.94,18.7,19.82,21.77,24.71,24.54,26.1,27.89,26.22,26.23,27.32,28.53,33.25,38.6,47.55,29.77,21.28,23.78,24.69,20.07,21.23,19.52
HB_PAN,2019-05-02,19.12,17.58,10.73,8.02,7.38,14.35,15.71,16.09,20.41,22.02,25.81,29.36,31.83,38.71,53.38,60.38,65.16,46.71,32.52,31.61,34.78,28.92,31.14,25.68
HB_PAN,2019-05-03,23.3,21.97,20.92,20.61,21.15,24.6,29.52,29.94,30.6,30.59,30.43,30.8,28.41,33.08,35.16,38.28,38.36,30.6,27.55,25.43,30.49,25.04,29.55,25.88
HB_PAN,2019-05-04,22.43,20.1,19.93,19.13,21.3,21.58,22.59,23.58,24.67,26.84,29.02,30.07,31.37,33.94,38.42,53.9,62.26,49.83,35.06,28.26,28.63,21.56,18.86,13.48
HB_PAN,2019-05-05,9.13,8.23,9.42,9.66,10.34,12.52,15.5,16.7,18.75,17.27,17.29,19.02,20.92,23.81,25.46,34.44,44.12,33.57,26.45,25.9,21.53,6.28,5.38,5.45
HB_PAN,2019-05-06,-2.01,-0.48,-1.99,-0.01,3.11,8.41,16.64,15.12,19.59,17.38,18.83,21.59,25.14,27.68,28.91,36.57,36.63,28.03,9.98,9.97,6.86,4.95,2.72,1.41
