Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_SOUTH,2016-01-01,18.38,16.09,15.53,15.53,15.86,16.55,18.91,19.13,19.02,19.57,20.51,20.51,20.25,20.04,19.06,19.3,20.04,24.82,26.12,23.13,22.7,21.29,20.24,19.59
HB_SOUTH,2016-01-02,18.95,17.92,17.11,16.95,17.86,17.6,20.08,21.24,23.19,24.59,23.19,21.75,20.74,19.65,18.27,17.91,19.31,23.31,23.35,21.64,20.69,19.96,19.85,18.4
HB_SOUTH,2016-01-03,17.43,16.45,16.17,16.34,17.0,17.68,19.28,20.03,20.16,20.22,19.85,18.65,17.14,16.32,16.03,15.96,16.98,21.22,21.83,20.86,20.24,19.68,18.78,18.13
HB_SOUTH,2016-01-04,17.01,17.07,17.47,18.0,19.34,21.67,53.15,35.45,23.99,23.47,21.72,20.2,18.99,17.48,16.42,16.5,17.4,22.83,27.16,22.76,22.56,21.45,20.36,18.71
HB_SOUTH,2016-01-05,15.89,15.87,15.98,16.5,17.99,21.05,48.27,29.34,22.65,22.47,21.41,20.6,19.72,19.05,17.99,17.6,18.46,22.48,22.49,21.8,20.98,19.63,18.6,17.11
HB_SOUTH,2016-01-06,12.6,10.69,10.27,11.66,13.67,17.31,23.35,21.71,20.46,20.4,20.77,19.66,18.64,18.85,18.47,17.66,18.42,24.9,24.2,21.36,19.96,18.63,16.82,15.64
HB_SOUTH,2016-01-07,14.43,11.11,10.67,11.0,12.74,14.96,21.42,21.52,19.96,19.66,19.84,16.79,16.56,16.31,15.65,15.66,16.19,23.06,22.2,20.79,19.86,18.01,15.92,14.88
HB_SOUTH,2016-01-08,15.42,14.02,14.01,14.01,15.08,17.52,22.8,22.38,21.38,21.29,20.62,18.68,17.38,17.23,16.56,16.52,17.6,23.53,22.0,20.26,19.67,17.96,17.49,16.51
HB_SOUTH,2016-01-09,16.02,14.44,14.02,13.85,13.99,13.26,16.88,19.69,20.12,21.41,21.98,20.36,18.11,17.88,17.37,17.52,18.9,23.89,23.65,23.46,22.15,21.55,20.87,19.2
HB_SOUTH,2016-01-10,18.08,17.03,17.51,17.79,19.39,20.81,23.24,23.53,27.29,26.28,23.45,21.01,20.37,19.53,18.04,18.04,18.59,23.46,22.95,22.76,22.47,21.2,19.73,18.05
HB_SOUTH,2016-01-11,16.7,16.7,16.7,17.55,19.49,21.75,54.4,39.84,23.88,23.4,21.99,20.84,20.09,19.37,18.72,18.6,18.55,24.04,26.69,24.42,22.76,21.58,19.86,18.44
HB_SOUTH,2016-01-12,16.47,15.99,15.65,16.12,17.08,20.65,37.81,26.14,22.09,21.75,21.39,19.59,18.74,17.73,17.18,16.85,16.54,21.76,22.26,21.62,20.84,19.99,18.7,17.41
HB_SOUTH,2016-01-13,16.35,15.25,14.85,14.99,16.66,21.24,32.87,26.36,21.76,21.35,21.01,20.1,18.87,18.69,17.74,16.77,16.75,21.08,21.91,20.59,19.32,18.17,17.41,16.3
HB_SOUTH,2016-01-14,13.44,11.23,11.32,12.65,14.11,19.21,25.41,23.53,21.13,20.47,20.67,19.52,18.48,17.95,17.38,16.37,16.35,21.64,21.05,20.06,18.35,17.22,16.99,15.53
HB_SOUTH,2016-01-15,12.59,10.97,11.87,12.45,14.41,17.2,26.08,21.55,20.49,21.1,22.47,19.93,19.39,19.18,18.92,18.2,17.76,23.54,24.92,20.66,19.31,18.64,17.5,17.12
