Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_WEST,2016-01-01,18.44,16.17,15.65,15.66,15.98,16.75,18.99,19.2,19.11,19.7,20.64,20.65,20.33,20.08,19.1,19.36,20.08,25.05,26.35,23.32,22.84,21.39,20.33,19.68
HB_WEST,2016-01-02,19.01,17.96,17.17,17.01,17.91,17.66,20.13,21.38,23.51,25.01,23.51,21.89,20.81,19.69,18.3,17.96,19.36,23.57,23.56,21.78,20.75,19.98,19.88,18.44
HB_WEST,2016-01-03,17.45,16.46,16.19,16.36,17.01,17.7,19.28,20.04,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.97,16.98,21.28,21.9,20.89,20.26,19.69,18.78,18.15
HB_WEST,2016-01-04,17.01,17.08,17.47,18.0,19.34,21.84,54.05,36.15,24.7,24.07,22.15,20.46,19.12,17.57,16.48,16.56,17.48,23.14,27.55,23.04,22.72,21.59,20.4,18.73
HB_WEST,2016-01-05,15.91,15.89,16.01,16.52,18.01,21.27,49.15,30.13,23.24,22.88,21.57,20.65,19.78,19.12,18.05,17.66,18.51,22.7,22.8,21.97,21.01,19.64,18.61,17.12
HB_WEST,2016-01-06,12.6,10.69,10.28,11.67,13.68,17.35,23.4,21.77,20.49,20.43,20.83,19.69,18.66,18.86,18.49,17.67,18.44,24.99,24.26,21.41,19.98,18.64,16.83,15.64
HB_WEST,2016-01-07,14.43,11.12,10.68,11.01,12.74,14.96,21.41,21.51,19.92,19.63,19.81,16.79,16.56,16.31,15.65,15.66,16.19,22.94,22.17,20.78,19.71,17.94,15.84,14.82
HB_WEST,2016-01-08,15.45,14.04,14.04,14.04,15.11,17.54,22.81,22.39,21.42,21.32,20.63,18.69,17.38,17.24,16.57,16.53,17.6,23.49,22.0,20.26,19.66,17.95,17.49,16.51
HB_WEST,2016-01-09,16.15,14.54,14.16,14.04,14.19,13.49,17.03,19.76,20.28,21.6,22.15,20.49,18.17,17.92,17.38,17.53,18.89,23.94,23.71,23.49,22.18,21.58,20.91,19.24
HB_WEST,2016-01-10,18.27,17.22,17.65,17.91,19.52,20.94,23.52,23.83,27.57,26.47,23.54,21.05,20.41,19.57,18.05,18.04,18.6,23.55,23.0,22.83,22.48,21.2,19.74,18.06
