Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
LZ_AEN,2016-01-01,18.44,16.17,15.65,15.66,15.98,16.75,18.99,19.2,19.11,19.7,20.64,20.65,20.33,20.08,19.1,19.36,20.08,25.03,26.32,23.31,22.84,21.39,20.33,19.68
LZ_AEN,2016-01-02,19.01,17.95,17.17,17.01,17.91,17.66,20.13,21.38,23.52,25.02,23.51,21.89,20.81,19.68,18.3,17.96,19.36,23.57,23.54,21.78,20.75,19.98,19.88,18.44
LZ_AEN,2016-01-03,17.44,16.46,16.19,16.36,17.01,17.7,19.28,20.04,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.97,16.98,21.28,21.9,20.89,20.25,19.69,18.78,18.15
LZ_AEN,2016-01-04,17.01,17.08,17.47,18.0,19.34,21.84,54.0,36.0,25.36,24.32,21.88,20.29,19.07,17.54,16.46,16.54,17.46,23.54,28.05,23.27,22.69,21.59,20.44,18.73
LZ_AEN,2016-01-05,15.89,15.88,15.99,16.5,18.0,21.3,49.0,29.87,23.03,22.68,21.49,20.58,19.74,19.07,18.01,17.63,18.47,23.02,22.99,22.0,21.0,19.63,18.61,17.12
LZ_AEN,2016-01-06,12.6,10.69,10.27,11.67,13.68,17.35,23.38,21.75,20.48,20.42,20.81,19.67,18.65,18.85,18.47,17.66,18.43,24.96,24.23,21.39,19.97,18.63,16.82,15.64
LZ_AEN,2016-01-07,14.44,11.11,10.67,11.0,12.74,14.98,21.42,21.52,19.98,19.67,19.86,16.81,16.58,16.33,15.67,15.67,16.19,23.06,22.21,20.79,19.91,18.06,16.0,14.95
LZ_AEN,2016-01-08,15.41,14.01,14.01,14.01,15.08,17.54,22.81,22.39,21.42,21.31,20.63,18.69,17.38,17.24,16.57,16.53,17.6,23.54,22.0,20.27,19.68,17.97,17.5,16.52
LZ_AEN,2016-01-09,16.15,14.54,14.16,14.38,14.83,14.78,18.26,21.06,21.54,22.85,23.32,21.83,19.46,18.97,18.73,18.59,20.14,24.97,23.71,23.5,22.18,21.57,20.91,19.25
LZ_AEN,2016-01-10,18.27,17.23,17.65,17.91,19.51,20.93,23.47,23.78,27.53,26.43,23.5,21.05,20.39,19.55,18.04,18.03,18.59,23.49,22.96,22.82,22.48,21.2,19.73,18.06
