Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
LZ_CPS,2016-01-01,18.45,16.19,15.67,15.69,16.0,16.79,19.0,19.21,19.12,19.73,20.66,20.68,20.35,20.09,19.11,19.37,20.09,25.1,26.37,23.36,22.88,21.42,20.34,19.69
LZ_CPS,2016-01-02,19.01,17.96,17.18,17.02,17.92,17.66,20.13,21.42,23.58,25.12,23.58,21.92,20.82,19.69,18.3,17.97,19.37,23.62,23.59,21.81,20.76,19.98,19.88,18.44
LZ_CPS,2016-01-03,17.45,16.46,16.19,16.36,17.02,17.71,19.28,20.03,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.97,16.98,21.28,21.91,20.89,20.25,19.69,18.78,18.15
LZ_CPS,2016-01-04,17.02,17.08,17.48,18.0,19.34,21.87,54.23,36.12,24.52,24.1,21.93,20.29,19.05,17.51,16.45,16.53,17.44,23.03,27.37,22.97,22.66,21.58,20.4,18.73
LZ_CPS,2016-01-05,15.89,15.88,16.0,16.5,18.0,21.28,49.19,29.92,23.1,22.75,21.52,20.67,19.74,19.07,18.0,17.61,18.47,22.65,22.74,21.94,21.01,19.67,18.61,17.12
LZ_CPS,2016-01-06,12.59,10.68,10.27,11.67,13.68,17.35,23.37,21.75,20.47,20.41,20.82,19.66,18.64,18.85,18.47,17.66,18.42,24.98,24.24,21.4,19.97,18.63,16.82,15.64
LZ_CPS,2016-01-07,14.43,11.11,10.67,11.0,12.74,14.96,21.42,21.52,19.96,19.65,19.83,16.78,16.56,16.3,15.64,15.65,16.18,23.05,22.19,20.78,19.89,18.05,15.91,14.88
LZ_CPS,2016-01-08,15.42,14.02,14.01,14.01,15.09,17.54,22.8,22.38,21.41,21.3,20.64,18.69,17.38,17.24,16.56,16.52,17.6,23.53,22.0,20.26,19.67,17.96,17.49,16.51
LZ_CPS,2016-01-09,16.17,14.56,14.18,14.07,14.24,13.57,17.06,19.77,20.3,21.62,22.15,20.52,18.21,17.94,17.42,17.56,18.91,23.92,23.69,23.49,22.17,21.58,20.91,19.25
LZ_CPS,2016-01-10,18.29,17.26,17.67,17.92,19.53,20.93,23.52,23.87,27.6,26.45,23.49,21.03,20.39,19.55,18.04,18.04,18.59,23.48,22.95,22.82,22.48,21.2,19.73,18.05
LZ_CPS,2016-01-11,16.7,16.7,16.7,17.55,19.5,21.95,54.8,40.28,24.03,23.52,22.07,20.85,20.12,19.38,18.72,18.67,18.56,24.21,26.82,24.45,22.88,21.67,19.87,18.55
LZ_CPS,2016-01-12,16.47,16.0,15.66,16.13,17.08,20.6,38.07,26.17,22.16,21.7,21.38,19.58,18.74,17.72,17.17,16.84,16.53,21.72,22.27,21.62,20.81,20.0,18.69,17.41
LZ_CPS,2016-01-13,16.32,15.23,14.82,14.97,16.63,21.2,32.87,26.26,21.65,21.28,20.92,20.05,18.83,18.65,17.7,16.72,16.71,21.07,21.86,20.54,19.33,18.17,17.41,16.3
LZ_CPS,2016-01-14,13.45,11.23,11.32,12.65,14.12,19.19,25.4,23.44,21.06,20.44,20.59,19.47,18.4,17.88,17.31,16.3,16.27,21.56,21.04,20.03,18.3,17.19,16.96,15.52
LZ_CPS,2016-01-15,12.64,11.05,11.96,12.54,14.51,17.31,26.16,21.63,20.55,21.14,22.49,19.95,19.4,19.19,18.92,18.2,17.76,23.54,24.92,20.66,19.31,18.64,17.5,17.12
LZ_CPS,2016-01-16,14.82,13.91,13.27,13.69,14.32,16.83,17.27,18.06,18.34,18.89,17.94,16.36,15.38,14.93,14.87,15.65,18.0,25.5,28.13,24.09,21.82,21.21,20.33,19.39
LZ_CPS,2016-01-17,19.54,18.13,19.02,19.0,20.0,21.78,24.69,24.99,25.98,27.71,22.09,19.94,18.29,17.26,16.26,15.98,16.71,20.66,23.98,21.14,19.17,18.8,18.03,17.44
LZ_CPS,2016-01-18,18.99,19.21,19.07,19.21,19.96,23.6,41.68,39.75,28.48,25.55,24.56,22.3,20.47,19.87,18.8,18.11,18.26,25.16,27.58,22.34,19.31,18.53,17.23,16.47
LZ_CPS,2016-01-19,12.38,10.22,11.16,11.97,14.15,18.67,26.48,24.07,20.33,20.04,19.44,18.37,17.62,17.6,17.04,16.9,17.38,23.1,23.02,21.89,20.62,18.41,16.99,17.37
LZ_CPS,2016-01-20,15.66,15.28,15.4,16.29,18.15,21.68,35.36,28.04,22.84,21.57,20.84,19.84,19.3,19.28,18.28,17.68,17.6,20.66,20.59,18.81,17.23,16.89,15.87,14.84
LZ_CPS,2016-01-21,13.57,11.64,11.27,12.72,13.63,16.12,29.54,21.09,19.01,17.4,17.29,16.95,16.43,16.12,16.02,15.79,16.17,22.42,22.91,21.68,21.27,19.13,17.85,18.26
LZ_CPS,2016-01-22,16.79,15.0,15.23,15.99,19.43,21.01,43.93,33.85,25.91,26.08,21.56,20.43,19.24,17.86,17.4,16.88,18.05,30.91,35.62,28.53,25.56,23.81,19.16,18.2
LZ_CPS,2016-01-23,19.03,17.63,16.96,17.0,18.67,20.82,28.77,30.46,33.02,25.48,22.38,20.42,19.82,18.06,16.71,15.95,15.92,19.46,22.51,19.98,19.02,17.53,16.48,16.69
LZ_CPS,2016-01-24,14.69,14.07,14.01,14.15,14.94,16.4,19.81,21.1,23.49,21.17,17.42,17.06,15.31,14.78,13.46,13.01,14.69,17.94,21.14,17.93,17.25,16.75,15.05,13.32
LZ_CPS,2016-01-25,7.4,7.2,9.5,11.39,12.38,15.92,23.47,20.69,19.69,21.39,20.1,17.0,16.66,16.42,16.45,15.81,16.32,29.66,30.19,23.21,20.47,18.65,17.38,16.11
LZ_CPS,2016-01-26,12.85,12.7,12.32,13.18,15.07,18.75,30.09,25.57,21.34,21.46,19.82,19.2,18.42,17.96,17.25,17.02,17.39,34.44,34.88,31.77,24.67,22.04,19.75,18.35
LZ_CPS,2016-01-27,15.99,15.49,15.62,16.1,18.28,25.07,56.19,36.6,28.4,24.15,21.39,19.82,18.56,17.97,16.93,16.47,16.63,25.9,26.44,23.94,20.63,19.79,17.72,16.86
LZ_CPS,2016-01-28,14.12,13.81,14.28,14.7,16.65,25.04,51.61,34.42,23.65,21.56,20.61,19.76,18.05,17.28,16.46,16.2,16.2,22.69,25.2,20.74,19.25,17.95,16.54,15.5
LZ_CPS,2016-01-29,13.12,12.24,11.95,12.97,14.13,20.77,41.43,26.8,20.69,19.61,17.28,16.76,15.0,14.71,14.47,14.0,14.38,20.67,20.26,16.35,15.61,14.94,14.57,11.59
LZ_CPS,2016-01-30,14.2,13.3,12.82,13.32,14.33,15.13,15.96,18.58,21.03,21.57,22.3,17.81,16.1,15.4,14.75,13.75,13.83,17.23,18.85,15.65,14.95,14.16,11.49,9.05
