Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
LZ_HOUSTON,2016-01-01,18.42,16.14,15.61,15.62,15.94,16.69,18.96,19.18,19.08,19.66,20.6,20.6,20.3,20.07,19.09,19.34,20.07,24.94,26.26,23.24,22.79,21.36,20.32,19.66
LZ_HOUSTON,2016-01-02,18.99,17.94,17.16,17.0,17.9,17.65,20.12,21.34,23.42,24.87,23.4,21.84,20.79,19.68,18.29,17.94,19.34,23.48,23.47,21.73,20.73,19.98,19.87,18.43
LZ_HOUSTON,2016-01-03,17.44,16.45,16.18,16.35,17.01,17.69,19.28,20.04,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.97,16.98,21.27,21.87,20.89,20.25,19.69,18.78,18.14
LZ_HOUSTON,2016-01-04,17.01,17.07,17.47,18.0,19.34,21.8,53.65,35.81,24.38,23.7,21.81,20.25,19.02,17.49,16.43,16.52,17.43,22.99,27.35,22.93,22.67,21.49,20.38,18.72
LZ_HOUSTON,2016-01-05,15.89,15.88,15.99,16.5,18.0,21.19,48.73,29.78,22.94,22.6,21.49,20.62,19.75,19.08,18.02,17.63,18.48,22.67,22.73,21.92,21.01,19.65,18.61,17.12
LZ_HOUSTON,2016-01-06,12.61,10.69,10.28,11.68,13.69,17.36,23.45,21.79,20.54,20.47,20.85,19.73,18.68,18.87,18.49,17.68,18.44,24.98,24.25,21.41,20.0,18.65,16.83,15.65
LZ_HOUSTON,2016-01-07,14.44,11.11,10.67,11.0,12.74,14.97,21.43,21.53,19.97,19.68,19.86,16.8,16.57,16.32,15.66,15.67,16.2,23.14,22.22,20.81,19.84,18.0,15.9,14.87
LZ_HOUSTON,2016-01-08,15.44,14.03,14.02,14.03,15.09,17.54,22.82,22.4,21.43,21.33,20.64,18.7,17.39,17.25,16.57,16.54,17.61,23.55,22.01,20.28,19.67,17.96,17.5,16.51
LZ_HOUSTON,2016-01-09,16.12,14.52,14.13,14.0,14.16,13.46,17.05,19.77,20.3,21.61,22.16,20.51,18.18,17.93,17.4,17.55,18.92,23.95,23.71,23.5,22.19,21.58,20.9,19.24
LZ_HOUSTON,2016-01-10,18.23,17.18,17.62,17.88,19.49,20.91,23.42,23.7,27.47,26.4,23.52,21.06,20.41,19.57,18.05,18.04,18.59,23.53,22.99,22.81,22.49,21.2,19.74,18.06
LZ_HOUSTON,2016-01-11,16.71,16.71,16.71,17.56,19.51,21.83,54.94,41.43,25.02,24.91,22.67,21.48,20.47,19.87,19.06,18.91,18.99,26.19,28.84,26.38,24.27,22.44,20.75,18.77
LZ_HOUSTON,2016-01-12,16.48,16.0,15.66,16.13,17.09,21.46,38.83,27.02,22.68,22.6,22.23,20.09,19.03,18.05,17.43,17.1,16.87,23.38,23.17,22.29,21.47,20.18,18.91,17.48
LZ_HOUSTON,2016-01-13,16.77,15.64,15.28,15.4,17.14,22.36,34.94,27.83,22.78,22.12,21.75,20.29,18.97,18.75,17.83,16.89,16.89,21.44,22.13,20.79,19.41,18.25,17.43,16.32
LZ_HOUSTON,2016-01-14,13.4,11.28,11.31,12.63,14.09,19.07,26.06,24.97,22.55,21.79,22.13,20.48,19.47,18.89,18.33,17.29,17.24,24.07,21.92,20.77,18.82,17.47,17.19,15.68
LZ_HOUSTON,2016-01-15,12.62,11.02,11.94,12.53,14.5,17.28,26.38,21.63,20.55,21.13,22.48,19.95,19.4,19.18,18.92,18.2,17.76,23.54,24.92,20.66,19.31,18.63,17.5,17.12
LZ_HOUSTON,2016-01-16,14.8,13.88,13.25,13.67,14.28,16.8,17.31,18.01,18.39,18.91,17.83,16.23,15.25,14.78,14.72,15.51,17.88,25.35,27.99,23.96,21.7,21.1,20.24,19.31
LZ_HOUSTON,2016-01-17,19.45,18.08,18.99,18.99,19.99,21.77,24.7,25.0,26.02,27.7,22.12,19.94,18.29,17.25,16.26,15.98,16.71,20.65,24.01,21.15,19.18,19.12,18.03,17.43
LZ_HOUSTON,2016-01-18,18.98,19.21,19.07,19.21,19.96,23.56,41.59,39.63,28.34,25.47,24.52,22.27,20.47,19.86,18.79,18.11,18.25,25.15,27.56,22.33,19.34,18.62,17.32,16.45
LZ_HOUSTON,2016-01-19,12.67,10.49,11.32,12.23,14.37,18.93,27.46,24.46,20.82,20.45,19.93,18.22,17.44,17.42,16.83,16.71,17.18,22.75,22.57,21.52,20.36,18.14,16.82,17.15
LZ_HOUSTON,2016-01-20,15.5,15.14,15.27,16.2,18.04,21.24,34.36,27.6,22.53,21.47,20.75,19.77,19.23,19.21,18.23,17.63,17.53,20.5,20.36,18.67,17.09,16.75,15.68,14.66
LZ_HOUSTON,2016-01-21,13.35,11.39,11.0,12.6,13.57,16.21,30.47,21.3,19.71,17.81,17.69,17.32,16.78,16.49,16.29,15.9,16.42,26.46,25.94,24.16,22.45,19.96,18.68,18.72
LZ_HOUSTON,2016-01-22,16.5,14.77,15.0,15.78,19.3,21.77,43.73,35.22,26.79,26.38,21.84,21.14,20.04,18.36,17.53,17.01,18.28,32.25,36.74,28.86,26.0,23.84,19.39,18.34
LZ_HOUSTON,2016-01-23,18.98,17.61,16.96,16.99,18.67,20.77,28.79,30.44,33.0,25.46,22.36,20.79,20.12,18.36,17.05,16.44,16.72,20.85,24.48,21.88,20.65,19.08,17.32,17.59
LZ_HOUSTON,2016-01-24,15.8,15.09,14.83,14.82,15.32,17.05,23.41,22.67,25.44,22.45,17.82,17.23,15.36,15.36,14.21,14.12,15.43,19.63,24.4,19.64,18.34,18.23,15.18,13.59
LZ_HOUSTON,2016-01-25,7.87,7.6,9.74,11.47,12.51,16.3,24.86,21.85,20.46,21.88,20.61,16.99,16.66,16.41,16.44,15.81,16.31,30.46,31.03,23.48,20.66,18.68,17.35,16.09
LZ_HOUSTON,2016-01-26,12.8,12.64,12.28,13.14,15.04,18.7,30.28,25.72,21.44,21.78,19.8,19.15,18.39,17.9,17.17,16.92,17.24,34.03,34.54,31.66,24.52,21.95,19.54,18.14
LZ_HOUSTON,2016-01-27,15.45,15.07,15.19,15.6,17.6,24.37,53.69,35.86,27.94,24.06,21.47,20.02,18.69,18.17,17.07,16.59,16.74,26.01,26.87,24.36,20.56,19.76,17.84,16.85
LZ_HOUSTON,2016-01-28,14.12,14.3,14.44,14.77,16.67,26.2,52.93,35.54,24.08,21.53,20.66,19.8,18.06,17.28,16.46,16.2,16.2,23.93,26.74,20.8,19.26,17.95,17.25,15.47
LZ_HOUSTON,2016-01-29,13.67,12.79,12.49,13.47,14.88,24.62,49.69,30.57,23.22,22.95,18.34,17.83,16.16,15.73,15.2,14.89,15.07,21.85,20.6,16.45,15.61,14.93,14.58,11.5
LZ_HOUSTON,2016-01-30,14.03,13.14,12.71,13.2,14.25,15.07,15.92,18.54,20.97,21.55,22.3,17.81,16.08,15.37,14.82,14.59,14.31,17.7,19.3,16.19,15.84,15.59,12.02,9.4
LZ_HOUSTON,2016-01-31,6.25,5.66,5.63,5.33,5.21,5.19,9.49,11.3,13.86,15.41,15.66,15.89,18.71,19.78,19.38,21.23,23.49,30.05,38.0,24.99,21.56,17.53,15.92,14.06
LZ_HOUSTON,2016-02-01,9.72,6.3,5.55,8.89,9.24,17.33,25.5,20.56,18.32,18.24,17.45,15.39,15.03,14.89,14.5,15.13,15.35,23.28,26.69,18.79,16.75,15.5,12.5,9.94
LZ_HOUSTON,2016-02-02,5.46,5.02,5.02,5.04,8.68,11.95,16.91,16.63,16.26,16.32,16.67,15.02,14.99,15.48,15.5,15.65,15.82,22.68,33.7,21.21,17.93,17.23,16.04,14.99
LZ_HOUSTON,2016-02-03,11.2,11.52,12.08,13.16,14.21,19.75,34.42,23.2,19.65,17.95,15.74,15.65,14.93,14.78,14.5,14.23,14.69,20.8,35.07,22.8,20.06,18.05,16.57,15.91
LZ_HOUSTON,2016-02-04,13.24,13.62,13.83,14.85,16.72,20.37,50.75,34.8,21.98,18.66,17.64,16.02,15.32,14.91,14.22,14.25,14.69,18.49,25.59,19.28,17.96,16.64,14.76,13.22
LZ_HOUSTON,2016-02-05,10.53,7.8,8.79,9.46,12.35,16.84,33.64,22.38,17.06,15.52,14.03,14.56,14.14,14.36,14.03,13.87,14.74,17.68,24.03,17.69,16.65,15.66,15.88,15.21
LZ_HOUSTON,2016-02-06,12.17,11.63,11.73,12.26,13.07,15.6,17.32,21.19,23.6,23.54,19.24,16.99,14.75,14.18,13.48,13.11,13.99,18.65,27.98,18.03,15.96,15.16,14.98,13.63
LZ_HOUSTON,2016-02-07,12.07,10.5,9.66,10.66,12.24,14.7,16.44,19.82,23.3,22.01,17.64,16.19,15.59,14.66,13.36,12.98,13.04,15.79,19.59,18.07,17.52,16.11,14.06,13.02
LZ_HOUSTON,2016-02-08,9.82,10.18,10.73,11.89,13.65,17.38,31.23,26.84,20.05,17.89,15.69,14.45,13.81,13.33,13.15,13.19,13.53,16.21,24.68,22.28,18.86,17.76,16.3,14.74
LZ_HOUSTON,2016-02-09,15.49,15.5,16.0,16.5,17.01,22.62,45.31,31.06,21.54,18.08,17.22,16.83,15.53,15.11,14.56,14.55,14.78,17.26,22.69,19.47,18.64,17.03,16.55,15.03
LZ_HOUSTON,2016-02-10,12.8,12.64,12.52,12.9,14.0,18.14,35.06,24.93,19.99,17.49,16.26,16.06,16.47,15.94,15.36,14.98,14.68,16.67,20.31,16.14,15.8,14.1,7.84,5.89
LZ_HOUSTON,2016-02-11,4.16,3.54,3.62,4.78,9.01,15.88,23.48,20.79,18.25,18.11,16.95,17.0,17.12,17.9,17.77,17.56,16.85,18.55,24.95,19.87,18.47,17.23,16.37,14.16
LZ_HOUSTON,2016-02-12,13.84,12.5,12.57,13.22,14.33,17.22,28.97,22.71,19.28,18.49,18.0,17.5,17.35,17.86,18.07,17.43,16.63,17.64,20.0,17.56,16.13,15.0,13.89,12.05
LZ_HOUSTON,2016-02-13,10.0,10.04,10.95,11.06,11.83,13.99,15.99,17.66,21.07,22.39,20.76,17.45,15.65,15.06,14.77,13.99,13.63,15.43,15.92,14.16,10.8,5.76,5.38,4.91
LZ_HOUSTON,2016-02-14,3.06,2.49,2.32,3.45,4.55,5.15,8.72,12.99,15.06,17.29,16.67,16.42,17.31,17.03,16.91,16.41,16.27,19.79,28.1,21.01,18.2,17.39,16.42,13.62
LZ_HOUSTON,2016-02-15,12.08,10.64,10.35,10.98,12.29,14.25,15.99,16.2,15.03,15.75,16.54,17.33,17.44,16.99,16.97,17.08,16.3,19.31,24.78,21.99,17.39,15.94,14.56,11.09
LZ_HOUSTON,2016-02-16,4.97,4.54,4.21,5.1,8.02,13.25,16.49,17.77,16.04,17.16,15.91,16.43,16.68,17.5,17.7,17.81,17.11,18.13,24.11,19.27,16.47,15.51,14.36,13.02
LZ_HOUSTON,2016-02-17,11.1,9.66,7.43,7.26,9.66,13.68,16.56,16.87,14.99,15.01,15.25,16.33,16.19,16.3,16.19,16.01,15.42,14.54,15.45,14.69,13.93,12.59,6.69,4.52
LZ_HOUSTON,2016-02-18,2.34,2.66,2.64,2.91,3.85,8.53,15.56,16.14,14.85,14.75,15.59,14.23,14.79,15.24,14.71,15.3,15.47,18.2,22.27,16.77,15.84,14.45,9.35,3.75
LZ_HOUSTON,2016-02-19,2.18,2.12,2.1,3.17,5.12,10.12,14.66,14.75,14.7,16.02,18.13,20.07,19.98,20.92,20.85,22.39,18.6,18.2,19.66,15.87,14.42,14.03,10.07,5.25
LZ_HOUSTON,2016-02-20,8.94,6.59,6.37,6.29,9.01,10.44,10.03,12.17,13.54,15.83,17.2,17.53,18.06,19.99,20.42,22.8,22.41,24.41,25.03,19.03,15.02,13.11,14.77,12.38
