Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
LZ_LCRA,2016-01-01,18.44,16.17,15.65,15.66,15.98,16.76,18.99,19.2,19.11,19.7,20.64,20.65,20.33,20.08,19.1,19.36,20.08,25.06,26.35,23.33,22.86,21.4,20.34,19.68
LZ_LCRA,2016-01-02,19.01,17.96,17.18,17.02,17.91,17.66,20.13,21.4,23.55,25.06,23.54,21.91,20.81,19.68,18.3,17.96,19.36,23.59,23.56,21.79,20.76,19.98,19.88,18.44
LZ_LCRA,2016-01-03,17.45,16.46,16.19,16.36,17.01,17.7,19.28,20.04,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.97,16.98,21.28,21.91,20.89,20.25,19.69,18.78,18.15
LZ_LCRA,2016-01-04,17.02,17.08,17.47,18.0,19.34,21.86,54.09,36.02,24.74,24.1,21.87,20.28,19.06,17.52,16.45,16.53,17.44,23.22,27.62,23.08,22.68,21.58,20.42,18.72
LZ_LCRA,2016-01-05,15.89,15.88,16.0,16.5,18.0,21.29,49.03,29.82,22.98,22.68,21.51,20.64,19.75,19.08,18.02,17.63,18.49,22.87,22.83,21.94,21.03,19.67,18.61,17.12
LZ_LCRA,2016-01-06,12.6,10.69,10.27,11.67,13.68,17.36,23.44,21.81,20.53,20.46,20.87,19.71,18.67,18.87,18.5,17.67,18.44,25.04,24.28,21.43,20.0,18.65,16.83,15.64
LZ_LCRA,2016-01-07,14.43,11.11,10.67,11.0,12.74,14.96,21.43,21.53,19.97,19.67,19.85,16.79,16.56,16.31,15.65,15.66,16.2,23.06,22.21,20.8,19.91,18.07,15.98,14.93
LZ_LCRA,2016-01-08,15.4,14.0,14.0,14.0,15.07,17.54,22.81,22.39,21.42,21.32,20.65,18.7,17.39,17.25,16.57,16.54,17.61,23.54,22.01,20.28,19.68,17.97,17.5,16.52
LZ_LCRA,2016-01-09,16.15,14.55,14.16,14.03,14.19,13.48,17.01,19.72,20.24,21.55,22.09,20.45,18.14,17.88,17.35,17.51,18.87,23.89,23.71,23.51,22.19,21.6,20.91,19.25
LZ_LCRA,2016-01-10,18.28,17.24,17.66,17.91,19.52,20.91,23.5,23.83,27.57,26.44,23.49,21.05,20.39,19.57,18.04,18.04,18.59,23.49,22.95,22.82,22.49,21.2,19.74,18.06
LZ_LCRA,2016-01-11,16.71,16.7,16.7,17.55,19.5,21.91,54.71,39.96,23.94,23.45,22.06,20.81,20.11,19.36,18.71,18.65,18.56,24.2,26.74,24.32,22.85,21.61,19.8,18.53
LZ_LCRA,2016-01-12,16.47,16.0,15.66,16.13,17.09,20.55,37.96,26.1,22.1,21.65,21.29,19.53,18.72,17.7,17.15,16.82,16.52,21.62,22.21,21.56,20.73,19.97,18.67,17.4
LZ_LCRA,2016-01-13,16.27,15.19,14.78,14.92,16.57,21.1,32.71,26.16,21.58,21.22,20.86,20.04,18.83,18.65,17.7,16.72,16.7,21.1,21.88,20.53,19.32,18.17,17.44,16.33
