Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
LZ_NORTH,2016-01-01,18.43,16.17,15.64,15.65,15.97,16.74,18.98,19.19,19.1,19.69,20.63,20.64,20.32,20.08,19.1,19.35,20.07,25.0,26.3,23.29,22.83,21.38,20.33,19.67
LZ_NORTH,2016-01-02,19.0,17.95,17.17,17.01,17.91,17.66,20.12,21.37,23.48,24.97,23.47,21.87,20.8,19.68,18.29,17.96,19.35,23.54,23.52,21.76,20.74,19.98,19.88,18.43
LZ_NORTH,2016-01-03,17.44,16.46,16.18,16.36,17.01,17.7,19.28,20.04,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.96,16.98,21.27,21.89,20.89,20.25,19.69,18.78,18.15
LZ_NORTH,2016-01-04,17.01,17.08,17.47,18.0,19.34,21.82,53.93,35.99,24.6,23.94,21.9,20.3,19.03,17.5,16.43,16.52,17.43,23.06,27.47,22.96,22.66,21.57,20.39,18.73
LZ_NORTH,2016-01-05,15.89,15.88,15.99,16.5,18.0,21.23,49.1,30.06,23.1,22.76,21.5,20.6,19.74,19.07,18.01,17.62,18.49,22.69,22.79,21.99,21.01,19.64,18.61,17.11
LZ_NORTH,2016-01-06,12.6,10.69,10.28,11.67,13.68,17.35,23.41,21.77,20.5,20.44,20.83,19.7,18.66,18.86,18.48,17.66,18.43,24.97,24.23,21.39,19.98,18.64,16.82,15.64
LZ_NORTH,2016-01-07,14.43,11.11,10.67,11.0,12.74,14.96,21.41,21.5,19.91,19.62,19.8,16.79,16.56,16.31,15.65,15.66,16.19,22.91,22.16,20.78,19.7,17.94,15.85,14.82
LZ_NORTH,2016-01-08,15.46,14.04,14.04,14.04,15.11,17.54,22.81,22.39,21.42,21.32,20.63,18.69,17.38,17.24,16.57,16.53,17.61,23.48,22.0,20.26,19.66,17.95,17.49,16.51
LZ_NORTH,2016-01-09,16.14,14.54,14.15,14.03,14.18,13.48,17.03,19.76,20.28,21.6,22.15,20.5,18.17,17.92,17.38,17.53,18.88,23.92,23.7,23.49,22.18,21.58,20.91,19.24
LZ_NORTH,2016-01-10,18.26,17.22,17.64,17.9,19.51,20.94,23.48,23.78,27.53,26.44,23.52,21.05,20.41,19.56,18.05,18.04,18.59,23.53,23.0,22.83,22.48,21.2,19.74,18.06
LZ_NORTH,2016-01-11,16.71,16.7,16.71,17.56,19.51,21.87,55.0,39.4,23.66,23.04,22.04,20.62,20.05,19.1,18.53,18.48,18.32,23.08,25.47,23.1,22.1,21.16,19.27,18.35
LZ_NORTH,2016-01-12,16.47,16.0,15.66,16.13,17.09,20.1,37.75,26.16,21.96,21.21,20.75,19.23,18.55,17.5,17.0,16.67,16.36,20.67,21.81,21.12,20.29,19.78,18.51,17.35
LZ_NORTH,2016-01-13,16.06,14.98,14.54,14.73,16.34,20.43,31.91,25.74,21.27,20.91,20.33,19.89,18.78,18.66,17.71,16.69,16.65,20.92,21.81,20.47,19.25,18.11,17.31,16.2
LZ_NORTH,2016-01-14,13.32,11.07,11.23,12.56,14.03,18.74,24.49,22.04,19.72,19.22,19.4,18.62,17.6,17.12,16.5,15.39,15.31,19.75,20.33,19.44,17.87,16.94,16.68,15.32
LZ_NORTH,2016-01-15,12.64,11.05,11.99,12.6,14.57,17.34,26.07,21.69,20.59,21.15,22.49,19.95,19.4,19.19,18.93,18.2,17.76,23.54,24.92,20.66,19.31,18.63,17.5,17.12
