Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
LZ_SOUTH,2016-01-01,18.22,15.91,15.25,15.23,15.58,16.09,18.87,19.19,19.08,19.62,20.7,21.2,21.03,21.14,20.62,20.72,21.47,26.31,26.07,23.1,22.72,21.36,20.09,19.44
LZ_SOUTH,2016-01-02,18.89,17.93,17.03,16.87,17.82,17.54,20.11,21.24,23.13,24.47,23.1,21.73,20.72,19.73,18.28,17.91,19.38,23.24,23.37,21.67,20.75,20.0,19.89,18.35
LZ_SOUTH,2016-01-03,17.47,16.47,16.21,16.38,17.03,17.72,19.3,20.06,20.2,20.24,19.89,18.7,17.17,16.36,16.06,15.99,17.01,21.22,21.84,20.94,20.36,19.85,18.83,18.18
LZ_SOUTH,2016-01-04,17.05,17.09,17.48,18.02,19.35,21.63,52.87,35.31,26.57,26.51,22.91,21.44,20.02,18.42,17.48,17.4,18.46,24.14,28.82,23.79,23.6,22.37,20.96,19.17
LZ_SOUTH,2016-01-05,16.02,15.97,16.07,16.56,18.05,21.29,48.87,30.14,23.6,23.25,22.0,21.23,20.31,19.48,18.45,18.05,18.97,23.08,23.27,22.58,21.64,20.11,18.78,17.2
LZ_SOUTH,2016-01-06,12.64,10.73,10.31,11.71,13.71,17.29,23.72,22.1,20.85,20.7,21.14,20.05,19.01,19.22,18.86,18.05,18.82,25.3,24.98,21.76,20.35,18.93,16.97,15.72
LZ_SOUTH,2016-01-07,14.45,11.15,10.69,11.02,12.76,15.0,21.64,21.79,20.21,19.92,20.23,17.18,16.96,16.71,16.55,16.44,16.97,23.64,23.18,21.32,20.38,18.41,15.99,14.92
LZ_SOUTH,2016-01-08,15.43,14.03,14.02,14.03,15.07,17.5,23.0,22.59,21.51,21.48,20.8,18.94,17.62,17.52,17.21,16.95,17.99,23.92,22.17,20.28,19.68,17.97,17.5,16.51
LZ_SOUTH,2016-01-09,15.83,14.29,13.82,13.57,13.66,12.84,16.65,19.63,19.94,21.2,21.78,20.15,18.02,17.79,17.37,17.5,18.87,23.95,23.71,23.49,22.16,21.54,20.81,19.12
LZ_SOUTH,2016-01-10,17.82,16.8,17.36,17.66,19.26,20.76,23.51,23.68,27.49,26.27,23.46,21.03,20.38,19.54,18.05,18.08,18.65,23.48,22.95,22.74,22.48,21.22,19.75,18.06
