Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
LZ_WEST,2016-01-01,18.44,16.17,15.65,15.66,15.98,16.76,18.99,19.2,19.11,19.71,20.64,20.66,20.33,20.1,19.15,19.39,20.15,25.23,26.52,23.41,22.89,21.43,20.34,19.68
LZ_WEST,2016-01-02,19.01,17.96,17.18,17.02,17.92,17.66,20.13,21.39,23.56,25.05,23.55,21.89,20.86,19.7,18.31,17.96,19.38,23.61,23.66,21.82,20.76,19.99,19.88,18.44
LZ_WEST,2016-01-03,17.5,16.51,16.24,16.39,17.06,17.76,19.33,20.13,20.27,20.31,19.95,18.74,17.22,16.4,16.11,16.04,17.05,21.37,21.97,20.97,20.33,19.75,18.84,18.2
LZ_WEST,2016-01-04,17.01,17.08,17.47,18.0,19.34,21.84,54.55,38.01,26.32,25.39,24.02,21.81,20.12,18.53,17.32,17.42,18.56,24.58,29.11,24.21,23.34,21.99,20.58,18.87
LZ_WEST,2016-01-05,16.08,16.07,16.19,16.69,18.13,21.63,50.35,31.96,25.05,24.35,22.21,21.09,20.18,19.53,18.5,18.15,19.01,23.34,23.3,22.0,21.02,19.66,18.61,17.12
LZ_WEST,2016-01-06,12.58,10.67,10.26,11.66,13.67,17.34,23.4,21.77,20.49,20.43,20.83,19.69,18.7,18.91,18.54,17.73,18.5,25.14,24.48,21.53,20.01,18.64,16.85,15.64
LZ_WEST,2016-01-07,14.41,11.09,10.65,10.97,12.7,14.9,21.35,21.44,19.87,19.59,19.73,16.7,16.48,16.21,15.57,15.61,16.15,22.9,22.14,20.75,19.62,17.85,15.73,14.73
LZ_WEST,2016-01-08,15.46,14.04,14.04,14.04,15.11,17.54,22.81,22.39,21.42,21.31,20.63,18.69,17.38,17.24,16.57,16.53,17.6,23.49,22.0,20.26,19.66,17.95,17.49,16.51
LZ_WEST,2016-01-09,16.15,14.55,14.16,14.04,14.2,13.5,17.05,19.8,20.65,22.11,22.88,21.0,18.72,18.47,17.91,18.07,19.43,25.0,24.66,24.38,23.06,22.3,21.2,19.51
LZ_WEST,2016-01-10,18.36,17.31,17.74,18.0,19.77,21.6,24.46,24.76,28.92,27.75,25.0,22.06,21.29,20.45,18.93,18.94,19.48,24.81,24.06,23.8,23.15,21.59,19.82,18.13
LZ_WEST,2016-01-11,16.74,16.73,16.74,17.59,19.56,22.3,56.1,40.44,24.5,24.04,22.53,21.12,20.56,19.48,18.9,18.85,18.63,24.04,26.28,23.79,22.45,21.32,19.38,18.4
LZ_WEST,2016-01-12,16.5,16.04,15.69,16.16,17.15,20.41,37.81,26.03,22.08,21.53,21.0,19.4,18.65,17.57,17.06,16.78,16.42,20.96,21.99,30.93,32.78,39.68,20.08,20.0
LZ_WEST,2016-01-13,17.89,16.05,16.36,17.66,19.18,23.88,37.1,35.46,32.04,30.07,29.68,27.91,27.78,27.63,25.69,25.49,24.63,35.65,38.73,28.26,19.48,18.24,17.4,16.25
LZ_WEST,2016-01-14,13.29,10.98,11.09,12.46,14.0,18.79,24.68,22.28,19.98,19.47,19.64,18.76,17.64,17.14,16.66,15.55,15.51,20.13,20.47,19.53,17.93,16.95,16.69,15.32
LZ_WEST,2016-01-15,12.62,11.04,12.0,12.61,14.58,17.35,26.11,21.79,20.79,21.33,22.63,20.1,19.55,19.3,19.04,18.31,17.87,23.74,24.95,20.67,19.32,18.64,17.5,17.12
LZ_WEST,2016-01-16,14.83,13.91,13.27,13.7,14.32,16.83,17.18,18.01,18.23,18.74,17.81,16.23,15.28,14.86,14.82,15.62,18.0,25.68,28.09,24.06,21.78,21.18,20.31,19.36
LZ_WEST,2016-01-17,19.53,18.12,19.01,19.0,20.0,21.78,24.69,24.99,26.0,27.72,22.08,19.94,18.29,17.26,16.26,15.99,16.72,20.66,23.96,21.11,19.13,18.62,18.02,17.43
LZ_WEST,2016-01-18,19.01,19.23,19.09,19.23,20.0,23.78,42.15,40.29,29.15,26.1,24.93,22.51,20.61,20.0,18.92,18.24,18.32,25.22,27.66,22.4,19.28,18.41,16.93,16.06
LZ_WEST,2016-01-19,11.32,9.36,10.3,11.21,13.39,17.91,25.86,23.72,19.89,19.57,18.93,18.22,17.54,17.55,16.99,16.89,17.35,23.05,22.93,21.77,20.57,18.35,16.94,17.33
LZ_WEST,2016-01-20,15.62,15.24,15.37,16.27,18.13,21.56,35.22,28.6,23.53,22.09,21.34,20.34,19.77,19.65,18.69,18.09,18.0,21.03,21.0,19.27,17.59,17.23,15.95,14.97
LZ_WEST,2016-01-21,13.44,11.41,11.06,12.53,13.54,15.99,29.15,20.92,18.47,16.69,16.55,16.08,15.54,15.03,15.34,15.29,15.77,20.3,21.12,20.21,20.32,18.48,17.04,17.71
LZ_WEST,2016-01-22,16.78,15.02,15.25,16.02,19.4,20.48,43.59,33.46,25.74,26.16,21.58,20.1,18.86,17.62,17.56,17.06,18.26,30.84,35.49,28.96,25.71,24.03,19.16,18.11
LZ_WEST,2016-01-23,19.11,17.75,17.1,17.15,18.83,20.95,29.07,30.78,33.0,25.46,22.37,20.23,19.66,17.89,16.54,15.72,15.56,18.74,21.48,18.76,17.23,15.24,14.4,14.21
LZ_WEST,2016-01-24,12.76,12.19,12.33,12.56,13.62,15.01,17.17,19.75,22.23,20.23,16.94,16.72,15.01,14.19,12.78,12.16,14.05,16.81,19.04,15.98,15.57,14.85,13.7,11.94
LZ_WEST,2016-01-25,5.92,5.96,8.58,10.79,11.9,15.35,22.61,19.87,19.35,21.01,19.74,17.0,16.66,16.42,16.45,15.81,16.32,29.16,29.72,23.05,20.34,18.6,17.31,16.05
LZ_WEST,2016-01-26,12.74,12.59,12.26,13.13,15.11,18.67,30.06,25.52,21.12,21.43,20.0,19.33,18.55,18.02,17.29,17.01,17.35,34.31,34.79,31.59,24.67,22.07,19.67,18.27
LZ_WEST,2016-01-27,15.93,15.44,15.54,16.0,18.07,24.95,56.26,36.58,28.62,24.28,21.66,20.07,18.77,18.22,17.16,16.68,16.76,25.97,26.35,23.78,20.6,19.78,17.65,16.85
LZ_WEST,2016-01-28,14.16,13.58,14.23,14.75,16.8,24.28,50.7,33.99,23.78,22.04,21.0,20.1,18.44,17.69,16.88,16.63,16.66,22.57,25.0,20.9,19.3,17.95,16.16,15.48
