month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,18.298333333333332,0.01770825259465612
1,0,1,17.58444444444445,0.0159375995777019
1,0,2,17.50722222222222,0.015746065905050805
1,0,3,18.052222222222223,0.017097825134336494
1,0,4,19.61555555555556,0.020975348550452622
1,0,5,22.192777777777778,0.027367612632671057
1,0,6,36.85444444444445,0.06373282957464713
1,0,7,33.504444444444445,0.05542385082582685
1,0,8,28.072777777777777,0.041951730555973496
1,0,9,27.617222222222225,0.04082181968134123
1,0,10,25.362222222222222,0.035228760851911456
1,0,11,23.146666666666665,0.029733535768943758
1,0,12,22.112777777777776,0.027169189259564897
1,0,13,21.548888888888893,0.02577058006718472
1,0,14,21.119444444444444,0.024705432376830132
1,0,15,20.677777777777777,0.023609970004473232
1,0,16,21.565,0.025810540329824144
1,0,17,31.63333333333334,0.05078294859928845
1,0,18,33.499444444444435,0.05541144936500769
1,0,19,26.947777777777773,0.03916140187166817
1,0,20,25.186666666666667,0.034793331783150735
1,0,21,23.563333333333333,0.030766990837204983
1,0,22,21.583888888888893,0.02585739029291866
1,0,23,19.594999999999995,0.020924364767085046
1,1,0,16.838421052631578,0.014087243604956837
1,1,1,15.990526315789474,0.011984216933417256
1,1,2,16.057894736842105,0.012151310300243492
1,1,3,16.940000000000005,0.014339189072124534
1,1,4,19.365789473684206,0.020355855694797347
1,1,5,23.283157894736842,0.030072073892357335
1,1,6,42.04684210526315,0.07661149280424912
1,1,7,40.18473684210526,0.07199292771181769
1,1,8,31.797368421052624,0.051189803541951254
1,1,9,30.076315789473682,0.04692109018631227
1,1,10,27.159473684210525,0.03968646956950757
1,1,11,25.296315789473685,0.035065293643219475
1,1,12,24.143684210526317,0.03220643057017683
1,1,13,23.143684210526317,0.029726138406349894
1,1,14,22.39263157894737,0.027863308449623026
1,1,15,22.53842105263158,0.028224908938770426
1,1,16,24.04684210526316,0.03196623385536412
1,1,17,39.421052631578945,0.0700987677488109
1,1,18,44.11210526315789,0.08173394883101594
1,1,19,33.1621052631579,0.0545747496371109
1,1,20,29.338421052631578,0.045090895652793644
1,1,21,26.731578947368416,0.038625165606775286
1,1,22,23.660526315789472,0.031008057829969914
1,1,23,21.781052631578955,0.026346413978903614
1,2,0,20.81166666666667,0.023942053566407853
1,2,1,20.084444444444443,0.022138329987269247
1,2,2,20.18944444444444,0.02239876066447107
1,2,3,21.088333333333335,0.024628267731733305
1,2,4,25.096111111111114,0.03456872754831529
1,2,5,38.61944444444444,0.06811054524380167
1,2,6,126.20055555555557,0.28533728883194753
1,2,7,127.0427777777778,0.2874262460099263
1,2,8,57.628888888888895,0.11525952133806089
1,2,9,32.66722222222223,0.053347295108667314
1,2,10,30.78388888888889,0.04867607820012655
1,2,11,27.932222222222222,0.041603111712946714
1,2,12,26.35055555555556,0.0376801162738271
1,2,13,25.11166666666667,0.03460730987086372
1,2,14,23.829444444444448,0.03142702414080116
1,2,15,23.477222222222228,0.030553410123097677
1,2,16,24.298333333333332,0.03259000557761779
1,2,17,34.416666666666664,0.05768642845527343
1,2,18,37.47055555555555,0.0652609651355827
1,2,19,30.596666666666668,0.0482117123894545
1,2,20,28.786666666666665,0.04372238357292772
1,2,21,26.514444444444447,0.038086608600676516
1,2,22,24.113888888888894,0.03213252946740083
1,2,23,21.930555555555557,0.026717224909711994
1,3,0,19.673529411764704,0.021119140651715
1,3,1,18.74235294117647,0.018809550948574966
1,3,2,18.841764705882355,0.01905612116956718
1,3,3,19.598235294117647,0.020932389241732737
1,3,4,21.98941176470589,0.026863205504060125
1,3,5,28.401764705882357,0.04276771425575278
1,3,6,53.62411764705883,0.10532651860903028
1,3,7,47.067058823529415,0.08906309699127794
1,3,8,33.87882352941176,0.05635242033657199
1,3,9,30.014705882352946,0.046768279616466596
1,3,10,27.561764705882354,0.04068426883813814
1,3,11,25.263529411764708,0.034983973847507635
1,3,12,23.97647058823529,0.031791691933123284
1,3,13,23.201764705882354,0.02987019500385266
1,3,14,22.088823529411766,0.027109775725052316
1,3,15,22.084705882352942,0.027099562757318913
1,3,16,23.049999999999997,0.029493774193107145
1,3,17,32.91235294117648,0.0539552909100028
1,3,18,34.60235294117647,0.05814698466687032
1,3,19,28.03058823529412,0.041847088164355825
1,3,20,26.3364705882353,0.0376451814397549
1,3,21,24.240000000000002,0.03244532186806122
1,3,22,22.852941176470583,0.029005010737294185
1,3,23,21.23294117647059,0.024986937431894552
1,4,0,19.12529411764706,0.01975935694778164
1,4,1,17.884705882352943,0.016682335669245745
1,4,2,17.941764705882353,0.016823858222122925
1,4,3,18.484117647058817,0.018169051972151403
1,4,4,20.091176470588238,0.022155027378960374
1,4,5,23.564705882352943,0.030770395159782794
1,4,6,38.38235294117647,0.06752248904613617
1,4,7,33.902352941176474,0.05641078015219146
1,4,8,27.9135294117647,0.04155674808164901
1,4,9,26.057058823529413,0.03695215862927384
1,4,10,24.88470588235294,0.03404438081603435
1,4,11,23.174117647058825,0.029801622220499795
1,4,12,21.92,0.02669104404798271
1,4,13,21.18,0.02485562784675077
1,4,14,20.463529411764707,0.02307857146113829
1,4,15,20.154705882352943,0.02231259888113291
1,4,16,21.13823529411765,0.024752039174026238
1,4,17,31.172352941176467,0.04963958254494388
1,4,18,31.694705882352945,0.05093517045169586
1,4,19,26.13529411764706,0.037146205016208536
1,4,20,24.30235294117647,0.03259997537945278
1,4,21,23.357647058823535,0.030256828782331577
1,4,22,21.131764705882357,0.02473599022473089
1,4,23,19.915294117647058,0.021718787757204924
1,5,0,20.51,0.02319383209698672
1,5,1,18.99941176470588,0.019447131934217533
1,5,2,18.265882352941176,0.017627764682280955
1,5,3,18.14058823529412,0.01731699866410735
1,5,4,19.162941176470582,0.019852732652772754
1,5,5,20.689411764705884,0.023638825691085084
1,5,6,24.88529411764706,0.03404583981142484
1,5,7,27.501764705882355,0.04053545130830853
1,5,8,32.037058823529414,0.05178430576895897
1,5,9,30.822352941176472,0.048771480287604474
1,5,10,26.81352941176471,0.03882842670143939
1,5,11,24.67058823529412,0.03351330649389729
1,5,12,22.18470588235294,0.0273475919737016
1,5,13,20.76294117647059,0.02382120011489589
1,5,14,20.18176470588235,0.02237971266909528
1,5,15,19.759999999999998,0.0213336129741165
1,5,16,20.313529411764705,0.02270652763656424
1,5,17,27.37352941176471,0.040217390313182486
1,5,18,31.162941176470586,0.0496162386186961
1,5,19,25.981764705882355,0.03676540721929157
1,5,20,23.735294117647058,0.03119350382302385
1,5,21,22.485294117647058,0.028093138618240174
1,5,22,21.15529411764706,0.024794350040350337
1,5,23,19.71058823529412,0.021211057361315653
1,6,0,18.721666666666668,0.018758242944009528
1,6,1,17.092222222222222,0.014716744657062627
1,6,2,16.42111111111111,0.013052193027116538
1,6,3,16.674444444444443,0.013680533708619363
1,6,4,17.473888888888883,0.015663389499589894
1,6,5,18.949444444444442,0.019323198381325662
1,6,6,23.22166666666667,0.02991955768123079
1,6,7,25.605555555555558,0.03583229861177602
1,6,8,27.52722222222222,0.0405985933865968
1,6,9,26.377777777777776,0.03774763533828682
1,6,10,24.168888888888887,0.0322689455364113
1,6,11,22.61,0.0284024456410233
1,6,12,21.177777777777784,0.024850116086386726
1,6,13,20.355000000000004,0.022809386811593547
1,6,14,19.623888888888892,0.020996017651817845
1,6,15,19.538333333333334,0.020783814877801534
1,6,16,20.148333333333333,0.02229679309773597
1,6,17,27.944444444444443,0.04163342639494903
1,6,18,33.415000000000006,0.05520200247117346
1,6,19,25.96333333333333,0.03671969203038965
1,6,20,23.762777777777774,0.03126167132987935
1,6,21,22.31111111111111,0.027661113872057243
1,6,22,20.242222222222225,0.022529664973117505
1,6,23,19.000000000000004,0.019448590929608035
2,0,0,13.41529411764706,0.0055968886923297885
2,0,1,12.414117647058825,0.003113678537721872
2,0,2,12.149411764705885,0.0024571306120029744
2,0,3,12.784117647058824,0.004031386638337835
2,0,4,14.309999999999997,0.00781602068125965
2,0,5,17.438235294117646,0.015574958167866537
2,0,6,28.247647058823528,0.042385457463445325
2,0,7,25.641176470588235,0.035920648888199916
2,0,8,22.421176470588236,0.02793410812067715
2,0,9,22.117058823529412,0.02717980750379566
2,0,10,20.768235294117645,0.023834331073410254
2,0,11,20.13352941176471,0.0222600750470754
2,0,12,19.474117647058822,0.020624541214340094
2,0,13,19.414705882352937,0.020477182679900955
2,0,14,18.857058823529414,0.019094055049719828
2,0,15,19.11411764705882,0.019731636035362387
2,0,16,18.9235294117647,0.019258921528844775
2,0,17,22.360588235294117,0.027783831595457043
2,0,18,31.757058823529412,0.05108982396308742
2,0,19,22.065882352941177,0.027052874904823342
2,0,20,19.825294117647054,0.021495561462460486
2,0,21,18.337058823529407,0.0178043031245298
2,0,22,16.35588235294118,0.012890406649371498
2,0,23,14.352352941176472,0.007921068349374682
2,1,0,12.613125,0.0036072749157658075
2,1,1,11.5625,0.0010014179611451263
2,1,2,11.158750000000001,0.0
2,1,3,11.900625,0.0018400667490391098
2,1,4,13.680625000000003,0.006254986800651081
2,1,5,17.03,0.01456241536686895
2,1,6,25.244999999999997,0.034938015492707294
2,1,7,22.771250000000006,0.028802392752440408
2,1,8,21.453125,0.025533057643996004
2,1,9,21.239375000000003,0.025002895193978
2,1,10,20.675625,0.023604630486620554
2,1,11,20.268125,0.022593911429861075
2,1,12,19.846875,0.021549088355848973
2,1,13,20.189999999999998,0.022400138604562084
2,1,14,19.980625,0.021880827432760822
2,1,15,20.351875000000003,0.022801635898581588
2,1,16,20.601875,0.023421708939538318
2,1,17,24.113124999999997,0.03213063479977567
2,1,18,36.849375,0.0637202558713166
2,1,19,23.600624999999997,0.030859485065814356
2,1,20,21.416874999999997,0.02544314705305727
2,1,21,19.799375000000005,0.021431274478067208
2,1,22,17.881874999999997,0.016675314253929017
2,1,23,16.33125,0.012829311217394872
2,2,0,14.117500000000001,0.007338564439722976
2,2,1,12.971874999999999,0.004497079729538726
2,2,2,12.569999999999999,0.003500312316200769
2,2,3,13.031875,0.004645897259368339
2,2,4,14.695624999999998,0.008772483346935419
2,2,5,17.784999999999997,0.016435035950558282
2,2,6,28.28375,0.04247500330553644
2,2,7,24.0125,0.03188105540079059
2,2,8,21.446250000000003,0.0255160056353697
2,2,9,21.2325,0.02498584318535169
2,2,10,20.893124999999998,0.02414409403225291
2,2,11,20.761249999999997,0.02381700550314823
2,2,12,20.365000000000002,0.02283418973323181
2,2,13,20.2375,0.022517952482343877
2,2,14,20.1325,0.022257521805142042
2,2,15,20.69625,0.023655786512499482
2,2,16,19.995625000000004,0.02191803181521824
2,2,17,22.756875,0.028766738552585384
2,2,18,33.580625,0.05561280086080728
2,2,19,23.808750000000003,0.03137569587241086
2,2,20,21.939999999999998,0.026740649891259242
2,2,21,19.600625,0.02093831641050659
2,2,22,16.914375,0.014275631585426458
2,2,23,15.666875,0.011181467111052338
2,3,0,13.204999999999998,0.005075297840230881
2,3,1,12.6,0.003574721081115579
2,3,2,12.421875,0.0031329190394339054
2,3,3,13.004375,0.0045776892248631
2,3,4,14.140625000000002,0.007395921196011474
2,3,5,18.288124999999997,0.017682932945483714
2,3,6,34.116249999999994,0.05694130735105707
2,3,7,27.975625,0.04171076328255725
2,3,8,23.173125000000002,0.02979916016577835
2,3,9,22.376875,0.027824227530331137
2,3,10,21.530625,0.025725280286692593
2,3,11,20.774374999999996,0.023849559337798452
2,3,12,20.123124999999995,0.022234269066106153
2,3,13,19.75625,0.021324311878502162
2,3,14,19.255625,0.020082615613986287
2,3,15,19.33125,0.020270187708875707
2,3,16,19.71875,0.021231300922358646
2,3,17,23.013125,0.02940231341956603
2,3,18,32.353750000000005,0.052569792412312105
2,3,19,23.023125,0.029427116341204308
2,3,20,21.135,0.02474401469937856
2,3,21,19.639375,0.021034427731854887
2,3,22,17.608124999999998,0.015996334274081394
2,3,23,15.6475,0.0111334114503782
2,4,0,14.765,0.008944553615800915
2,4,1,13.855625000000003,0.006689037929320799
2,4,2,13.512499999999998,0.00583798768060766
2,4,3,14.264374999999998,0.007702857351285047
2,4,4,15.591875,0.01099544519876532
2,4,5,18.040624999999995,0.01706906063493654
2,4,6,32.806875000000005,0.05369367479904619
2,4,7,26.973750000000003,0.03922582057092314
2,4,8,24.574375,0.03327466956034085
2,4,9,23.8325,0.03143460281130174
2,4,10,22.357499999999998,0.02777617186965699
2,4,11,21.621250000000003,0.025950056764039418
2,4,12,20.477500000000003,0.023113222601662344
2,4,13,20.391249999999996,0.022899297402532253
2,4,14,20.140000000000004,0.022276123996370755
2,4,15,19.85625,0.02157234109488485
2,4,16,20.015,0.02196608747589238
2,4,17,23.798125,0.03134934276817018
2,4,18,30.726249999999997,0.04853311691568374
2,4,19,21.599375000000002,0.0258958003729557
2,4,20,20.323125,0.02273032749887156
2,4,21,19.130000000000003,0.019771028910905538
2,4,22,17.7575,0.01636682791605305
2,4,23,16.344375000000003,0.012861865052045108
2,5,0,15.734375,0.011348886832110664
2,5,1,14.40125,0.008042347341208862
2,5,2,14.054374999999999,0.00718199599688139
2,5,3,14.229375,0.0076160471255511085
2,5,4,15.03875,0.009623533595648544
2,5,5,16.64,0.01359510142297644
2,5,6,18.849375000000002,0.019074996922431597
2,5,7,20.586875000000003,0.02338450455708092
2,5,8,23.413125,0.030394430285096818
