month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,18.144444444444446,0.01779864538932576
1,0,1,17.436666666666664,0.016042303289233693
1,0,2,17.347222222222225,0.01582034796889241
1,0,3,17.925555555555555,0.01725547522650294
1,0,4,19.489444444444445,0.02113624682129034
1,0,5,22.05555555555555,0.027504020887479663
1,0,6,36.775555555555556,0.06403152503507713
1,0,7,33.50166666666666,0.05590740886879571
1,0,8,28.074999999999996,0.042441200365107165
1,0,9,27.64388888888889,0.041371403293151573
1,0,10,25.401666666666664,0.035807355635403104
1,0,11,23.16222222222222,0.03025020100002549
1,0,12,22.17611111111111,0.02780317805837447
1,0,13,21.61,0.026398380099195665
1,0,14,21.18722222222222,0.0253492620943526
1,0,15,20.70777777777778,0.02415952643314425
1,0,16,21.549999999999997,0.026249490815985342
1,0,17,31.697777777777773,0.05143108014116707
1,0,18,33.496666666666655,0.055895001428528185
1,0,19,26.913888888888888,0.03955991701409274
1,0,20,25.114444444444445,0.035094617122257435
1,0,21,23.487222222222222,0.031056684617414704
1,0,22,21.445000000000004,0.025988934570367307
1,0,23,19.428888888888892,0.02098597893360586
1,1,0,16.706842105263156,0.014231252358956177
1,1,1,15.892105263157896,0.012209492618521368
1,1,2,15.942631578947367,0.012334873067540573
1,1,3,16.832105263157892,0.014542091388816306
1,1,4,19.257894736842108,0.0205616589880825
1,1,5,23.188421052631575,0.03031521308470212
1,1,6,41.961578947368416,0.07690058012705958
1,1,7,40.22421052631579,0.07258932114568017
1,1,8,31.86894736842105,0.051855835435471745
1,1,9,30.21578947368421,0.047753543869124365
1,1,10,27.286315789473687,0.04048408991869791
1,1,11,25.42473684210527,0.03586460400014628
1,1,12,24.28894736842106,0.03304615598990188
1,1,13,23.342105263157897,0.030696578617135574
1,1,14,22.66526315789474,0.02901700301881569
1,1,15,22.78578947368421,0.029316087631580272
1,1,16,24.265789473684208,0.03298868995076805
1,1,17,39.72736842105263,0.07135641339699125
1,1,18,44.306315789473686,0.08271901658935746
1,1,19,33.27894736842105,0.05535473359091417
1,1,20,29.37105263157895,0.045657339487084406
1,1,21,26.787368421052633,0.03924595798463318
1,1,22,23.633157894736847,0.031418822245340004
1,1,23,21.676315789473687,0.02656294193853339
1,2,0,20.707777777777775,0.024159526433144243
1,2,1,19.99944444444445,0.022401805728578035
1,2,2,20.118333333333332,0.02269682708605031
1,2,3,21.022222222222222,0.024939816565524235
1,2,4,25.031111111111112,0.034887826451132004
1,2,5,38.53944444444445,0.06840859424056558
1,2,6,126.19722222222221,0.28593032259294016
1,2,7,126.98944444444444,0.287896212573106
1,2,8,57.59888888888887,0.11570437793590164
1,2,9,32.704444444444434,0.05392911144836235
1,2,10,30.860555555555564,0.04935352319859353
1,2,11,28.05611111111111,0.04239432781298541
1,2,12,26.451666666666668,0.03841291809158365
1,2,13,25.23222222222222,0.03538688127078138
1,2,14,23.976666666666667,0.03227123515915811
1,2,15,23.62777777777778,0.03140547154937962
1,2,16,24.46222222222222,0.03347613546958233
1,2,17,34.56611111111111,0.05854881504130467
1,2,18,37.63999999999999,0.066176633596885
1,2,19,30.662222222222233,0.04886136140131499
1,2,20,28.793888888888887,0.04422511455468263
1,2,21,26.516111111111115,0.038572836210587325
1,2,22,24.068333333333335,0.032498704897396105
1,2,23,21.848888888888894,0.026991180023088597
1,3,0,19.55705882352941,0.021304031095234856
1,3,1,18.645294117647058,0.019041497869980065
1,3,2,18.757058823529412,0.019318840652430655
1,3,3,19.50470588235294,0.021174117897139584
1,3,4,21.90705882352941,0.027135528020972223
1,3,5,28.39470588235294,0.04323454669280136
1,3,6,53.71117647058824,0.10605706601442459
1,3,7,47.191764705882356,0.08987922360442528
1,3,8,33.93176470588236,0.05697469201494551
1,3,9,30.013529411764708,0.04725163794176988
1,3,10,27.61647058823529,0.04130336510763226
1,3,11,25.29470588235294,0.03554193372693505
1,3,12,24.038235294117648,0.03242401697264844
1,3,13,23.27823529411765,0.03053808605198445
1,3,14,22.221176470588233,0.027915007209543874
1,3,15,22.209411764705887,0.02788581323244383
1,3,16,23.13941176470588,0.0301935971222037
1,3,17,33.11058823529412,0.054936952413361176
1,3,18,34.76117647058823,0.05903286740049986
1,3,19,28.121764705882352,0.04255724642407993
1,3,20,26.498235294117645,0.03852847758427137
1,3,21,24.348235294117643,0.033193278269235064
1,3,22,22.855882352941173,0.029490022274092212
1,3,23,21.184705882352944,0.025343017827028434
1,4,0,19.090000000000003,0.02014503020436241
1,4,1,17.861176470588234,0.017095719296260935
1,4,2,17.93352941176471,0.017275262255426325
1,4,3,18.455882352941178,0.01857147483866907
1,4,4,20.07941176470588,0.022600243678477606
1,4,5,23.657647058823528,0.03147959181346143
1,4,6,38.58882352941176,0.068531127850005
1,4,7,34.01705882352941,0.057186348348920946
1,4,8,27.99882352941177,0.04225216936338429
1,4,9,26.24470588235294,0.03789934737776504
1,4,10,25.07823529411765,0.03500476454829392
1,4,11,23.367058823529412,0.03075850057908991
1,4,12,22.14,0.027713568767553452
1,4,13,21.40294117647059,0.02588456610223458
1,4,14,20.69294117647059,0.024122709584245845
1,4,15,20.339411764705886,0.023245430572388988
1,4,16,21.331764705882357,0.02570794254077921
1,4,17,31.44176470588236,0.05079578676171741
1,4,18,31.85235294117647,0.05181465656250955
1,4,19,26.230588235294118,0.037864314605244975
1,4,20,24.432941176470585,0.03340347490435551
1,4,21,23.392352941176473,0.03082126762985505
1,4,22,21.177647058823528,0.02532550144076838
1,4,23,19.882941176470585,0.022112704260906564
1,5,0,20.47764705882353,0.023588459803314706
1,5,1,18.960588235294118,0.019823896456261723
1,5,2,18.214705882352938,0.017972998308117792
1,5,3,18.07764705882353,0.017632888474902075
1,5,4,19.086470588235297,0.020136272011232394
1,5,5,20.66,0.024040966448365668
1,5,6,24.939411764705884,0.03466027561851319
1,5,7,27.59294117647059,0.041244977153432144
1,5,8,32.08470588235294,0.052391237610235786
1,5,9,30.900588235294116,0.049452863815114545
1,5,10,26.90294117647059,0.03953275039651352
1,5,11,24.770588235294117,0.03424134204712729
1,5,12,22.30470588235294,0.028122284446954318
1,5,13,20.896470588235296,0.024627765388076914
1,5,14,20.30705882352941,0.0231651471353638
1,5,15,19.89470588235294,0.022141898238006635
1,5,16,20.427647058823528,0.023464385400639436
1,5,17,27.549411764705884,0.041136959438161924
1,5,18,31.32058823529412,0.05049508879758677
1,5,19,26.033529411764704,0.037375315488818936
1,5,20,23.747058823529418,0.03170146603942192
1,5,21,22.470588235294116,0.028533919524065185
1,5,22,21.08294117647059,0.025090489925112897
1,5,23,19.56470588235294,0.021323007180349893
1,6,0,18.598888888888887,0.018926343849196482
1,6,1,16.948888888888888,0.014831888560912804
1,6,2,16.298333333333332,0.01321754272166021
1,6,3,16.540555555555553,0.013818614272398146
1,6,4,17.35888888888889,0.015849298662849967
1,6,5,18.797222222222224,0.019418505646475036
1,6,6,23.223333333333333,0.03040184749218415
1,6,7,25.535000000000004,0.03613822070920382
1,6,8,27.499444444444446,0.04101296612986749
1,6,9,26.36611111111111,0.038200613002561515
1,6,10,24.167777777777776,0.03274547509827245
1,6,11,22.59722222222222,0.028848160249795023
1,6,12,21.187777777777782,0.02535064069882679
1,6,13,20.370555555555555,0.023322713517323304
1,6,14,19.64777777777778,0.021529149096428675
1,6,15,19.573333333333338,0.02134441609688996
1,6,16,20.182222222222226,0.022855366600579824
1,6,17,27.992777777777775,0.04223716690293007
1,6,18,33.54555555555556,0.056016318622255146
1,6,19,26.01888888888889,0.03733898520620553
1,6,20,23.762777777777778,0.03174047243660282
1,6,21,22.31833333333333,0.028156100803761887
1,6,22,20.19333333333333,0.022882938690063206
1,6,23,18.904999999999998,0.019685954914463927
2,0,0,13.30411764705882,0.005787432266551949
2,0,1,12.332941176470587,0.0033774694569418465
2,0,2,12.095882352941175,0.0027892108183755968
2,0,3,12.725882352941175,0.00435254829208391
2,0,4,14.27,0.008184257786467038
2,0,5,17.40705882352941,0.015968831780198547
2,0,6,28.345294117647057,0.0431119319889811
2,0,7,25.786470588235293,0.03676224196971764
2,0,8,22.545294117647057,0.028719301278650577
2,0,9,22.22,0.027912087811833873
2,0,10,20.86058823529412,0.024538723757921724
2,0,11,20.273529411764706,0.023081944300628633
2,0,12,19.706470588235295,0.021674794604405648
