month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,18.337777777777777,0.0172829947808463
1,0,1,17.648888888888887,0.01557625323777645
1,0,2,17.579444444444444,0.015404202678999251
1,0,3,18.096666666666668,0.016685635240771858
1,0,4,19.658333333333335,0.020554708206553585
1,0,5,22.241666666666667,0.026954988993065504
1,0,6,36.8,0.06302366813511817
1,0,7,33.36055555555556,0.05450234806000092
1,0,8,27.914999999999996,0.04101083144292781
1,0,9,27.404999999999998,0.03974729213926804
1,0,10,25.14055555555556,0.03413706751866105
1,0,11,22.96611111111112,0.028749820422229296
1,0,12,21.84944444444444,0.025983247437091857
1,0,13,21.287777777777777,0.024591702517701854
1,0,14,20.839444444444442,0.023480944110236233
1,0,15,20.448888888888888,0.02251333176767325
1,0,16,21.387777777777778,0.024839455322341025
1,0,17,31.31888888888889,0.04944406163195116
1,0,18,33.25999999999999,0.05425321885089151
1,0,19,26.698888888888888,0.03799788205762145
1,0,20,25.008333333333336,0.03380948325474925
1,0,21,23.43277777777778,0.02990600017721208
1,0,22,21.60333333333334,0.025373500256785475
1,0,23,19.68777777777778,0.020627657643475114
1,1,0,16.93684210526316,0.013812137361000704
1,1,1,16.074210526315788,0.011674943430455421
1,1,2,16.17421052631579,0.011922696235094593
1,1,3,17.06368421052632,0.014126392234253549
1,1,4,19.479473684210525,0.020111578409484042
1,1,5,23.334736842105265,0.02966310100938894
1,1,6,42.123684210526314,0.07621324507682986
1,1,7,39.97315789473684,0.070885255814958
1,1,8,31.49105263157895,0.04987060213303756
1,1,9,29.700000000000003,0.04543321900573704
1,1,10,26.786842105263155,0.03821578861795905
1,1,11,24.904210526315786,0.03355151608009424
1,1,12,23.70263157894737,0.030574570538035153
1,1,13,22.598421052631576,0.02783885798996682
1,1,14,21.682105263157897,0.025568659922194217
1,1,15,21.835263157894737,0.025948112901931046
1,1,16,23.38789473684211,0.029794801184486616
1,1,17,38.65894736842106,0.06762926237714742
1,1,18,43.558947368421045,0.07976914980446678
1,1,19,32.66578947368421,0.05278104560648297
1,1,20,28.967894736842105,0.04361940768335235
1,1,21,26.364210526315787,0.037168707027826146
1,1,22,23.452105263157893,0.029953884564307538
1,1,23,21.685263157894735,0.025576483694972285
1,2,0,20.765555555555558,0.0232978823156973
1,2,1,20.098333333333336,0.02164482054696594
1,2,2,20.19,0.021871927284551847
1,2,3,21.116111111111113,0.024166393536404616
1,2,4,25.13111111111111,0.034113668642667336
1,2,5,38.64111111111111,0.06758507254941937
1,2,6,125.8411111111111,0.2836255181947767
1,2,7,126.70277777777775,0.28576032152808417
1,2,8,57.358333333333334,0.11395751555552117
1,2,9,32.42,0.052172095291922495
1,2,10,30.57388888888889,0.047598303237389346
1,2,11,27.63,0.040304735949706176
1,2,12,26.125000000000004,0.03657605623988667
1,2,13,24.814444444444447,0.0333291180946433
1,2,14,23.486111111111114,0.030038135006352974
1,2,15,23.122777777777777,0.029137966482830645
1,2,16,23.89055555555555,0.031040157460671382
1,2,17,33.986111111111114,0.05605217949346596
1,2,18,36.94444444444444,0.06338153329737475
1,2,19,30.18444444444445,0.0466334437037668
1,2,20,28.487777777777776,0.042429904451722185
1,2,21,26.242777777777775,0.036867853987572786
1,2,22,23.984444444444446,0.03127276981613818
1,2,23,21.883333333333333,0.026067208109775142
1,3,0,19.666470588235292,0.02057486848379382
1,3,1,18.76941176470588,0.018352380089236543
1,3,2,18.857647058823524,0.01857098550509463
1,3,3,19.606470588235293,0.020426216801010325
1,3,4,21.985882352941175,0.026321276181983544
1,3,5,28.194117647058828,0.04170235324175894
1,3,6,53.01294117647059,0.10319168461432313
1,3,7,46.401176470588226,0.08681085211935671
1,3,8,33.40529411764707,0.054613189102337874
1,3,9,29.67529411764706,0.04537200948929677
1,3,10,27.28,0.03943760113346909
1,3,11,24.98941176470588,0.033762604537793006
1,3,12,23.691176470588243,0.03054619018580096
1,3,13,22.89823529411765,0.028581656181956232
1,3,14,21.67823529411765,0.02555907196535833
1,3,15,21.68823529411765,0.025583847245822258
1,3,16,22.736470588235292,0.02818087958621638
1,3,17,32.46941176470588,0.05229451432480301
1,3,18,34.17176470588235,0.056512141481425145
1,3,19,27.66470588235294,0.04039072074661037
1,3,20,25.81,0.03579563490527326
1,3,21,23.845882352941175,0.03092947834827213
1,3,22,22.647647058823527,0.027960816800919233
1,3,23,21.078235294117647,0.0240725551375233
1,4,0,19.004705882352944,0.01893532786485814
1,4,1,17.784117647058824,0.015911286278821192
1,4,2,17.815882352941177,0.015989984228530103
1,4,3,18.397647058823527,0.017431322603754455
1,4,4,19.973529411764705,0.02133561533097999
1,4,5,23.246470588235294,0.02944441888987616
1,4,6,37.74823529411764,0.06537294767087315
1,4,7,33.38823529411765,0.054570925388605286
1,4,8,27.476470588235298,0.03992436252611311
1,4,9,25.50588235294118,0.03504217490528238
1,4,10,24.372941176470587,0.03223528136566447
1,4,11,22.651764705882353,0.02797101838699262
1,4,12,21.365294117647057,0.024783751423781628
1,4,13,20.59941176470588,0.022886256414133388
1,4,14,19.86647058823529,0.021070374093072164
1,4,15,19.64529411764706,0.02052240318398789
1,4,16,20.635294117647057,0.02297515594991567
1,4,17,30.500588235294117,0.047416698812289444
1,4,18,31.227647058823536,0.04921800743896015
1,4,19,25.759999999999998,0.03567175850295367
1,4,20,23.857058823529414,0.03095716836761416
1,4,21,23.102941176470587,0.029088820746746992
1,4,22,20.90529411764706,0.023644088522441445
1,4,23,19.81941176470588,0.02095378453794785
1,5,0,20.38823529411765,0.022363060785513027
1,5,1,18.909411764705887,0.018699234015731404
1,5,2,18.191764705882353,0.016921243300085577
1,5,3,18.091764705882355,0.016673490495446412
1,5,4,19.146470588235296,0.019286553899670142
1,5,5,20.61764705882353,0.02293143486674406
1,5,6,24.65470588235294,0.032933361326971305
1,5,7,27.250588235294117,0.03936473266151639
1,5,8,31.84647058823529,0.050751160088844886
1,5,9,30.590588235294117,0.0476396763364647
1,5,10,26.568235294117653,0.037674184112213814
1,5,11,24.419999999999998,0.03235187092078878
1,5,12,21.901764705882353,0.026112872352198835
1,5,13,20.48588235294118,0.022604984112395983
1,5,14,19.929411764705883,0.02122631262305094
1,5,15,19.51235294117647,0.020193037690761688
1,5,16,20.09647058823529,0.021640205543742255
1,5,17,27.05882352941177,0.03888963022438482
1,5,18,30.84176470588235,0.04826197308694074
1,5,19,25.802941176470583,0.035778146472004606
1,5,20,23.562352941176467,0.030227026278648123
1,5,21,22.345882352941175,0.027213186278684555
1,5,22,21.155882352941177,0.024264927903478423
1,5,23,19.808823529411764,0.020927551888044883
1,6,0,18.810000000000002,0.018452938580531285
1,6,1,17.227222222222224,0.014531562244881287
1,6,2,16.539444444444445,0.012827573510751873
1,6,3,16.801111111111112,0.013475860016224375
1,6,4,17.60055555555555,0.015456506048867516
1,6,5,19.110555555555557,0.01919757339891901
1,6,6,23.136666666666667,0.02917237659458609
1,6,7,25.640555555555558,0.035375831541856896
1,6,8,27.48833333333333,0.03995375280980069
1,6,9,26.325000000000003,0.037071561849165
1,6,10,24.102222222222217,0.031564567563824295
1,6,11,22.561666666666664,0.027747797967910846
1,6,12,21.11722222222222,0.02416914634534504
1,6,13,20.270555555555553,0.02207150593273339
1,6,14,19.51166666666667,0.020191337426416135
1,6,15,19.39222222222222,0.019895410465319334
1,6,16,19.984444444444446,0.021362657630571324
1,6,17,27.745,0.04058965167504123
1,6,18,33.03666666666666,0.05369990425386403
1,6,19,25.65722222222222,0.03541712367596341
1,6,20,23.540555555555557,0.0301730226444343
1,6,21,22.085555555555555,0.026568219336934353
1,6,22,20.16111111111111,0.021800354252100522
1,6,23,19.015,0.01896083183004158
2,0,0,13.503529411764708,0.005306008870825614
2,0,1,12.474705882352941,0.00275706972192025
2,0,2,12.17941176470588,0.002025470263515166
2,0,3,12.82470588235294,0.003624204538157351
2,0,4,14.330588235294117,0.007355070302135461
2,0,5,17.439411764705884,0.015057267787535585
2,0,6,28.03058823529411,0.04129720453770191
2,0,7,25.321764705882348,0.03458601827085848
2,0,8,22.14117647058824,0.026706021713893795
2,0,9,21.869411764705884,0.026032717033050864
2,0,10,20.51529411764706,0.022677852584348672
2,0,11,19.76882352941177,0.02082845076618922
2,0,12,18.89117647058823,0.018654055563120713
2,0,13,18.677058823529407,0.01812357308730507
2,0,14,17.944117647058828,0.016307690766243874
2,0,15,18.18705882352941,0.01690958434457314
2,0,16,18.070588235294117,0.016621025195640467
2,0,17,21.721176470588237,0.025665459934409274
2,0,18,31.06411764705882,0.04881285873490312
2,0,19,21.567647058823532,0.025285086510816193
2,0,20,19.37235294117647,0.019846183764266848
2,0,21,18.030588235294115,0.01652192407378479
2,0,22,16.187647058823526,0.011955985621228765
2,0,23,14.325882352941179,0.00734341134662303
2,1,0,12.82,0.00361254558264492
2,1,1,11.815000000000003,0.0011226298960212537
2,1,2,11.361875,0.0
2,1,3,12.011249999999997,0.0016088447751256146
2,1,4,13.8,0.006040523068108795
2,1,5,17.03375,0.014052229388128001
2,1,6,24.96125,0.0336928329758983
2,1,7,22.506875,0.02761205007703564
2,1,8,21.21875,0.024420684262277316
2,1,9,20.823749999999997,0.023442060683952583
2,1,10,20.2275,0.021964834586291525
2,1,11,19.75625,0.02079729949442944
2,1,12,19.214999999999996,0.01945633743931991
2,1,13,19.4025,0.019920873948018364
2,1,14,19.071875,0.019101741237680103
2,1,15,19.418125,0.019959585323743236
2,1,16,19.704375000000002,0.020668777727022872
2,1,17,23.395624999999995,0.029813953128266263
2,1,18,36.103125000000006,0.06129714077778898
2,1,19,22.90375,0.028595319020447346
2,1,20,20.863125,0.02353961335077926
2,1,21,19.376250000000002,0.019855838836800588
2,1,22,17.703125,0.01571062472418145
2,1,23,16.370625000000004,0.012409318602364501
2,2,0,14.219375000000001,0.007079536392564326
2,2,1,13.064375000000002,0.004217991498981895
2,2,2,12.625000000000002,0.003129427613598537
2,2,3,13.080000000000002,0.0042567028747067664
2,2,4,14.730624999999998,0.008346172606282079
2,2,5,17.72875,0.015774111380370243
2,2,6,27.914999999999992,0.041010831442927796
2,2,7,23.6475,0.03043798050495119
2,2,8,21.112499999999997,0.02415744690734819
2,2,9,20.953750000000003,0.023764139329983516
2,2,10,20.542499999999997,0.022745255920904914
2,2,11,20.320625,0.022195554385611757
2,2,12,19.848125000000003,0.021024922383691684
2,2,13,19.556874999999998,0.02030334234018008
2,2,14,19.325,0.01972886552442301
2,2,15,19.7525,0.020788008764255468
2,2,16,19.156875,0.0193123311216234
2,2,17,21.961874999999996,0.026261797291752147
2,2,18,32.895625,0.053350469568987556
2,2,19,23.318749999999998,0.029623493159699907
2,2,20,21.690000000000005,0.02558821935413942
2,2,21,19.365,0.019827966646278672
2,2,22,16.843125,0.013579950604284581
2,2,23,15.8275,0.011063711182167993
2,3,0,13.291875000000001,0.0047816291295360094
2,3,1,12.755000000000004,0.0034515062596294707
2,3,2,12.57875,0.0030148419414529164
2,3,3,13.17875,0.00450135876928795
2,3,4,14.3,0.007279287091304654
2,3,5,18.436249999999998,0.017526962473192367
2,3,6,33.806875000000005,0.05560811700126201
2,3,7,27.728125,0.04054784338925837
2,3,8,22.945625,0.02869906550739
2,3,9,22.112500000000004,0.02663497495373992
2,3,10,21.116249999999997,0.02416673763752216
2,3,11,20.349375,0.022266783316945517
2,3,12,19.665,0.020571225060196187
2,3,13,19.123125,0.019228714550057688
2,3,14,18.55,0.01780878128846943
2,3,15,18.571875000000002,0.01786297721448426
2,3,16,19.055625000000003,0.019061481406926248
2,3,17,22.432499999999997,0.027427783928585248
2,3,18,31.705,0.05040066273875241
2,3,19,22.593125,0.027825736871036927
2,3,20,20.880625000000006,0.023582970091591132
2,3,21,19.536250000000003,0.020252243324223262
2,3,22,17.681874999999998,0.01565797725319562
2,3,23,15.9675,0.011410565108662833
2,4,0,15.101875000000003,0.009265954893505013
2,4,1,14.2,0.007031534286665482
2,4,2,13.8325,0.006121042729616527
