month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,16.83388888888889,0.022034227730016915
1,0,1,16.254444444444445,0.02059260056052799
1,0,2,16.14777777777778,0.020327219528368957
1,0,3,16.924999999999997,0.022260907361652742
1,0,4,18.477222222222224,0.026122754256717038
1,0,5,20.939999999999998,0.0322500152752639
1,0,6,35.70833333333334,0.06899284849340774
1,0,7,32.38833333333332,0.06073286386745774
1,0,8,26.888333333333332,0.04704915439675755
1,0,9,26.622777777777777,0.04638846620211162
1,0,10,24.314444444444447,0.04064545480304503
1,0,11,22.090555555555557,0.03511253672110433
1,0,12,20.985555555555553,0.03236335509108182
1,0,13,20.337222222222223,0.030750336004990202
1,0,14,19.799444444444443,0.029412373301188396
1,0,15,19.36611111111111,0.02833426285804232
1,0,16,20.089999999999996,0.030135260175246596
1,0,17,30.064444444444444,0.054951151067867965
1,0,18,31.745555555555555,0.05913366671012442
1,0,19,25.235000000000003,0.042935748398292534
1,0,20,23.420555555555556,0.03842150646583728
1,0,21,21.95111111111111,0.03476560630927142
1,0,22,20.08333333333333,0.03011867386073665
1,0,23,18.143333333333334,0.025292056338344224
1,1,0,15.64684210526316,0.019080918036332616
1,1,1,14.918947368421051,0.01726995438102367
1,1,2,15.073157894736841,0.017653622024556222
1,1,3,16.013684210526314,0.019993601816340075
1,1,4,18.36894736842105,0.02585337213991744
1,1,5,22.015263157894744,0.034925213212932876
1,1,6,41.12631578947368,0.08247250264743958
1,1,7,39.08789473684211,0.07740101874504515
1,1,8,30.769473684210528,0.05670522657428756
1,1,9,29.283684210526314,0.05300866084837495
1,1,10,26.286315789473683,0.04555136654831392
1,1,11,24.50947368421053,0.04113067724945424
1,1,12,23.280000000000005,0.03807181166825274
1,1,13,22.12473684210526,0.0351975779564645
1,1,14,21.05263157894737,0.032530236694089734
1,1,15,21.245263157894737,0.03300949388703482
1,1,16,22.65473684210526,0.03651618996000469
1,1,17,38.421578947368424,0.07574326025797276
1,1,18,43.10263157894737,0.08738947193571511
1,1,19,32.025263157894734,0.05982956444960723
1,1,20,27.948421052631577,0.04968659664481835
1,1,21,25.382105263157893,0.04330173852241316
1,1,22,22.177894736842106,0.03532983199058323
1,1,23,20.265789473684208,0.030572615099956058
1,2,0,19.567222222222217,0.028834616679092154
1,2,1,19.12777777777778,0.027741302114311982
1,2,2,19.206111111111106,0.027936191309803755
1,2,3,20.263333333333335,0.030566504352505037
1,2,4,24.26277777777778,0.040516910865593
1,2,5,37.67833333333333,0.07389410443109487
1,2,6,125.32722222222225,0.29195991006477484
1,2,7,126.16222222222223,0.29403734595714476
1,2,8,56.4788888888889,0.12066889354200055
1,2,9,31.799999999999997,0.05926912161195559
1,2,10,30.03611111111111,0.054880659231200724
1,2,11,27.129444444444445,0.04764902610486704
1,2,12,25.740555555555552,0.04419354391529627
1,2,13,24.327777777777776,0.04067862743206491
1,2,14,22.94777777777778,0.037245260328507404
1,2,15,22.529444444444447,0.03620446909300869
1,2,16,23.408333333333335,0.03839109822256907
1,2,17,33.51833333333334,0.06354424417689256
1,2,18,36.76666666666667,0.07162592592186065
1,2,19,29.73,0.05411907095661933
1,2,20,28.005000000000003,0.04982736207717245
1,2,21,25.622777777777785,0.0439005190256207
1,2,22,23.000555555555557,0.03737656865171109
1,2,23,20.741111111111113,0.03175519022571738
1,3,0,18.64823529411765,0.026548225746082312
1,3,1,17.908823529411766,0.024708608333818115
1,3,2,18.03529411764706,0.025023260476727257
1,3,3,18.761764705882356,0.026830680925530984
1,3,4,21.336470588235297,0.03323641315582562
1,3,5,27.681176470588234,0.04902170624149112
1,3,6,52.80823529411765,0.11153650129501308
1,3,7,46.071764705882345,0.09477651831549873
1,3,8,32.518235294117645,0.06105605308401174
1,3,9,28.767058823529418,0.05172332417549248
1,3,10,26.27529411764706,0.045523945211012676
1,3,11,23.93470588235294,0.039700685319684736
1,3,12,22.77294117647059,0.03681027609993791
1,3,13,21.967058823529413,0.03480528337535403
1,3,14,20.80705882352941,0.031919264650624515
1,3,15,20.817647058823535,0.03194560762072855
1,3,16,21.915882352941175,0.03467795901985124
1,3,17,31.978823529411763,0.05971402510704574
1,3,18,33.712941176470586,0.06402841821074887
1,3,19,26.959411764705887,0.0472259937794003
1,3,20,25.240588235294116,0.04294965163251409
1,3,21,23.095294117647057,0.03761227318977145
1,3,22,21.65235294117647,0.034022311763928934
1,3,23,19.943529411764704,0.029770849088807626
1,4,0,17.96764705882353,0.024854958167729344
1,4,1,16.878235294117648,0.022144559243693327
1,4,2,17.107647058823527,0.022715323595947124
1,4,3,17.64764705882353,0.02405881507125224
1,4,4,19.278235294117646,0.028115632467271594
1,4,5,22.64470588235294,0.03649123346201141
1,4,6,37.39941176470588,0.07320016230196578
1,4,7,32.94,0.06210538139315527
1,4,8,27.005294117647065,0.047340146649851075
1,4,9,24.988823529411764,0.04232327434337402
1,4,10,24.016470588235293,0.039904111588821345
1,4,11,22.175294117647056,0.03532336178739978
1,4,12,20.798235294117646,0.03189731217553783
1,4,13,19.99764705882353,0.02990549093600597
1,4,14,19.22941176470588,0.02799416210512527
1,4,15,18.911176470588234,0.027202409503665505
1,4,16,20.162941176470586,0.03031673396929652
1,4,17,30.083529411764705,0.05499863345842583
1,4,18,30.832941176470595,0.05686313034245495
1,4,19,25.285294117647055,0.04306087750628662
1,4,20,23.376470588235293,0.03831182539586714
1,4,21,22.54,0.03623073075764942
1,4,22,20.241764705882353,0.030512842746737583
1,4,23,18.968823529411765,0.027345832340898515
1,5,0,19.39117647058824,0.028396624148381167
1,5,1,17.96764705882353,0.024854958167729344
1,5,2,17.251176470588234,0.023072417190690534
1,5,3,17.144117647058827,0.0228060604929721
1,5,4,18.172941176470587,0.025365719088079542
1,5,5,20.03294117647059,0.029993300836352713
1,5,6,24.37117647058823,0.04078660108730607
1,5,7,27.164705882352937,0.047736754699750486
1,5,8,31.54235294117647,0.0586281093394244
1,5,9,30.301176470588235,0.05554012784389739
1,5,10,26.224117647058822,0.045396620855509884
1,5,11,24.099999999999998,0.04011192835297529
1,5,12,21.651176470588236,0.03401938476725071
1,5,13,20.34235294117647,0.03076310096272578
1,5,14,19.762941176470587,0.029321555098700148
1,5,15,19.4364705882353,0.02850931352049282
1,5,16,19.906470588235294,0.029678648693443558
1,5,17,27.06705882352941,0.04749381397545785
1,5,18,30.65529411764706,0.05642115384404302
1,5,19,25.24,0.042948188134174975
1,5,20,22.60058823529412,0.03638147108657799
1,5,21,21.175882352941176,0.032836878109247944
1,5,22,20.052941176470586,0.03004305977988252
1,5,23,18.28058823529412,0.025633539284137103
1,6,0,17.659444444444446,0.024088166343497776
1,6,1,16.01833333333333,0.020005168588300957
1,6,2,15.56277777777778,0.018871770430121757
1,6,3,15.769444444444446,0.01938594617992988
1,6,4,16.749444444444443,0.021824134412891005
1,6,5,18.04555555555556,0.025048790392198452
1,6,6,22.534444444444446,0.03621690882889114
1,6,7,24.88611111111111,0.04206773127227234
1,6,8,26.94888888888889,0.04719981342022285
1,6,9,25.857222222222227,0.04448380441922023
1,6,10,23.66944444444444,0.039040728874208355
1,6,11,22.03888888888889,0.0349839927836523
1,6,12,20.685555555555556,0.03161697093813455
1,6,13,19.78611111111111,0.02937920067216852
1,6,14,19.02055555555556,0.027474538889277127
1,6,15,18.903333333333332,0.02718289619247734
