month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,19.30944444444444,0.019772736116624133
1,0,1,18.445000000000004,0.017635532806766663
1,0,2,18.36722222222222,0.017443239449838603
1,0,3,18.897777777777776,0.018754954848883523
1,0,4,20.458333333333332,0.022613183703247067
1,0,5,23.164444444444445,0.029303619000365204
1,0,6,38.56111111111111,0.06736946252825103
1,0,7,35.25666666666667,0.05919974190676497
1,0,8,29.835555555555555,0.04579689492887978
1,0,9,29.09222222222222,0.043959119846238834
1,0,10,26.532777777777774,0.037631294879327884
1,0,11,24.24333333333333,0.03197100256575288
1,0,12,23.189999999999998,0.029366801103355843
1,0,13,22.635555555555555,0.027996024173254454
1,0,14,22.161666666666665,0.026824408219971396
1,0,15,21.663333333333334,0.025592357211653816
1,0,16,22.723888888888887,0.028214414485765595
1,0,17,32.73388888888889,0.05296256952240583
1,0,18,35.336111111111116,0.0593961558356272
1,0,19,29.012777777777778,0.04376270591737662
1,0,20,27.17722222222222,0.03922458269387459
1,0,21,25.332222222222224,0.03466310956274561
1,0,22,22.530555555555555,0.027736428141401585
1,0,23,20.379444444444445,0.022418143298362905
1,1,0,17.492105263157896,0.01527965002145528
1,1,1,16.483684210526317,0.012786487129073834
1,1,2,16.591052631578947,0.013051938710517366
1,1,3,17.44736842105263,0.015169045195853798
1,1,4,19.86473684210526,0.021145609478060455
1,1,5,24.064210526315787,0.03152814951893287
1,1,6,44.38105263157894,0.08175835514091012
1,1,7,43.95315789473684,0.0807004525148631
1,1,8,37.23315789473685,0.06408630647627948
1,1,9,32.173157894736846,0.05157625008413168
1,1,10,29.40315789473684,0.04472785952953691
1,1,11,26.862105263157893,0.03844550543537324
1,1,12,25.719473684210524,0.035620528066187374
1,1,13,24.805263157894736,0.033360285924190214
1,1,14,24.466842105263158,0.03252359294934613
1,1,15,24.958947368421054,0.03374024603096234
1,1,16,27.05,0.03891004570289944
1,1,17,46.50526315789474,0.08701013250711656
1,1,18,54.40105263157894,0.10653123360915538
1,1,19,43.55421052631579,0.07971411771714644
