month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,18.573333333333334,0.01767305478521009
1,0,1,17.858333333333334,0.01592308582898271
1,0,2,17.74277777777778,0.015640262563329798
1,0,3,18.23611111111111,0.016847700351309527
1,0,4,19.818333333333335,0.020720203527172455
1,0,5,22.441111111111113,0.027139475821150286
1,0,6,37.24333333333333,0.06336804836949707
1,0,7,34.394444444444446,0.05639536708936188
1,0,8,29.010555555555552,0.043218250418965945
1,0,9,28.412777777777777,0.04175518391010763
1,0,10,26.288888888888888,0.036556946676496685
1,0,11,23.96388888888889,0.030866488182470595
1,0,12,23.244999999999994,0.02910700113557219
1,0,13,22.77444444444444,0.027955312164379822
1,0,14,22.48611111111111,0.027249613727486268
1,0,15,21.825000000000003,0.025631538313414335
1,0,16,22.58222222222222,0.027484846539784117
1,0,17,33.12777777777777,0.05329518898508957
1,0,18,34.74166666666667,0.05724519661355931
1,0,19,27.733333333333334,0.04009223749715807
1,0,20,25.909444444444446,0.03562825297245373
1,0,21,24.22833333333333,0.031513718348099365
1,0,22,21.991666666666664,0.0260394564850291
1,0,23,19.923333333333332,0.020977191975289754
1,1,0,17.288947368421052,0.014529508538481919
1,1,1,16.62578947368421,0.012906423603004192
1,1,2,16.530526315789476,0.012673266163860167
1,1,3,17.436315789473685,0.014890194079699198
1,1,4,19.906315789473684,0.020935541383030148
1,1,5,24.082105263157892,0.03115582382595104
1,1,6,42.614210526315794,0.07651331879667045
1,1,7,41.2442105263158,0.07316023142599701
1,1,8,32.72578947368421,0.05231131898099135
1,1,9,31.183157894736844,0.04853571426203483
1,1,10,28.26894736842105,0.04140315768446322
1,1,11,26.24947368421053,0.036460477607139385
1,1,12,25.208947368421057,0.03391378005361599
1,1,13,24.59736842105263,0.032416935057564294
1,1,14,24.48736842105263,0.032147709064298535
1,1,15,24.347894736842104,0.031806345962789334
1,1,16,25.74684210526316,0.03523028227905903
1,1,17,41.26947368421053,0.07322206323306282
1,1,18,45.503157894736844,0.08358404356717622
1,1,19,34.05631578947368,0.05556779415312445
1,1,20,30.090526315789482,0.0458614886064382
1,1,21,27.708947368421054,0.0400325526278376
1,1,22,24.468421052631577,0.032101335208999174
1,1,23,22.179999999999996,0.02650040401895379
1,2,0,21.046666666666667,0.023726560451973338
1,2,1,20.422777777777775,0.022199586762895355
1,2,2,20.64777777777778,0.022750276294575312
1,2,3,21.51944444444445,0.024883688332120592
1,2,4,25.601666666666663,0.0348749640822051
1,2,5,39.06,0.06781435644009812
1,2,6,125.92777777777775,0.28042402694019575
1,2,7,126.35222222222221,0.28146285855057473
1,2,8,57.7761111111111,0.1136222073851985
1,2,9,33.41277777777778,0.05399272905855085
1,2,10,31.877222222222226,0.050234442970740076
1,2,11,29.332222222222217,0.04400553249018245
1,2,12,27.521111111111104,0.039572821691968574
1,2,13,26.415000000000003,0.036865604759685214
1,2,14,25.34722222222222,0.034252209006873216
1,2,15,25.059999999999995,0.03354923002445709
1,2,16,25.721666666666664,0.035168665165767735
1,2,17,35.62333333333334,0.05940308374140149
1,2,18,38.20666666666667,0.06572581540143048
1,2,19,30.85777777777778,0.04773934348769637
1,2,20,28.722222222222214,0.04251255198207238
1,2,21,26.61111111111111,0.037345588474951924
1,2,22,24.513888888888886,0.032212618148799346
1,2,23,22.365,0.0269531931894462
1,3,0,19.689411764705884,0.020404666823835144
1,3,1,18.85176470588235,0.018354518083672406
1,3,2,19.01941176470588,0.01876483577394374
1,3,3,19.70235294117647,0.0204363404701017
1,3,4,21.94705882352941,0.025930278386155737
1,3,5,28.53294117647059,0.042049284913446366
1,3,6,53.39117647058825,0.1028900402579243
1,3,7,47.235882352941175,0.08782490232459368
1,3,8,34.505294117647054,0.0566666726654633
1,3,9,30.47352941176471,0.04679889214223627
1,3,10,28.841176470588238,0.04280369357906805
1,3,11,26.373529411764704,0.03676410512051281
1,3,12,25.224117647058822,0.03395090944756482
1,3,13,24.583529411764708,0.03238306395737016
1,3,14,23.749999999999996,0.030342993195564962
1,3,15,23.711176470588235,0.03024797225676529
1,3,16,24.409411764705883,0.03195690944396555
1,3,17,34.64941176470589,0.057019401907977274
1,3,18,35.85058823529411,0.05995929216599148
1,3,19,28.950588235294116,0.04307147986113985
1,3,20,27.438235294117646,0.03936998238153426
1,3,21,25.355882352941176,0.03427340475500615
1,3,22,23.584705882352942,0.02993843435006938
1,3,23,21.71529411764706,0.025363032175745547
1,4,0,19.709999999999997,0.02045505671562284
1,4,1,18.51529411764706,0.017531003280741888
1,4,2,18.410588235294117,0.017274734688221546
1,4,3,18.891176470588235,0.018450978733666027
1,4,4,20.50529411764706,0.022401546249822293
1,4,5,24.491176470588236,0.03215702929992244
1,4,6,39.49941176470588,0.06888982070196718
1,4,7,34.66764705882353,0.05706403295498924
1,4,8,28.581764705882353,0.04216878094254292
1,4,9,27.442941176470587,0.039381500071085734
1,4,10,26.205294117647064,0.036352347719047565
1,4,11,24.668235294117647,0.03259038236929672
1,4,12,23.672352941176467,0.030152951317965606
1,4,13,22.97,0.028433936152407826
1,4,14,22.332941176470587,0.026874728929376767
1,4,15,21.865294117647057,0.025730158530198843
1,4,16,22.605882352941173,0.027542754923362365
1,4,17,33.17882352941177,0.053420123923141036
1,4,18,32.93647058823529,0.05282696291123999
1,4,19,26.911764705882348,0.038081440862962876
1,4,20,25.274117647058826,0.03407328489904926
1,4,21,23.830588235294115,0.03054023362913399
1,4,22,21.88352941176471,0.025774789577210824
1,4,23,20.39176470588236,0.022123681989392945
1,5,0,21.061176470588233,0.02376207332809038
1,5,1,19.529411764705884,0.020013065379084965
1,5,2,18.70470588235294,0.01799459028518879
1,5,3,18.50705882352941,0.017510847324026798
1,5,4,19.52235294117647,0.019995788844757747
1,5,5,20.917058823529413,0.023409344085576437
1,5,6,25.2364705882353,0.033981143382637455
1,5,7,27.956470588235298,0.04063836794339057
1,5,8,32.46058823529412,0.05166223655534699
1,5,9,31.471176470588233,0.04924064232714917
1,5,10,27.652352941176474,0.03989403725612643
1,5,11,25.564117647058826,0.03478306251765896
1,5,12,23.12117647058824,0.028803941929249
1,5,13,21.761764705882353,0.025476769360066372
1,5,14,21.199411764705886,0.024100405458665004
1,5,15,20.735882352941175,0.02296591303784461
1,5,16,21.298823529411763,0.024343716650439922
1,5,17,28.551176470588235,0.042093915960458334
1,5,18,32.33941176470588,0.05136565604939648
1,5,19,26.8,0.03780789573611533
1,5,20,24.63588235294118,0.03251119825363033
1,5,21,23.421176470588236,0.02953819463815559
1,5,22,21.731764705882345,0.025403344089175692
1,5,23,20.26705882352941,0.021818463216278814
1,6,0,19.06,0.018864175846325226
1,6,1,17.42388888888889,0.014859779128306865
1,6,2,16.637222222222217,0.012934405358285116
1,6,3,16.864444444444445,0.01349053379891994
1,6,4,17.62777777777778,0.015358799024915607
1,6,5,19.03388888888889,0.01880026866610558
1,6,6,23.793333333333333,0.03044905192018481
1,6,7,25.90611111111111,0.03562009460902142
1,6,8,27.803888888888892,0.040264922856475
1,6,9,26.686666666666664,0.03753051137941728
1,6,10,24.479444444444443,0.03212831505999897
1,6,11,22.996666666666663,0.028499203059866186
1,6,12,21.67222222222222,0.025257613322767453
1,6,13,20.913333333333334,0.023400225914681518
1,6,14,20.21777777777778,0.0216978474118092
1,6,15,20.177222222222227,0.021598587323382944
1,6,16,20.71944444444445,0.022925681108369674
1,6,17,28.61555555555556,0.04225148435223895
1,6,18,34.654999999999994,0.057033079164319614
1,6,19,26.80666666666667,0.03782421246297993
1,6,20,24.31833333333333,0.03173399416077134
1,6,21,22.724444444444444,0.027832936712895395
1,6,22,20.524999999999995,0.022449776574819082
1,6,23,19.224444444444448,0.019266655108985144
2,0,0,13.509411764705883,0.0052790610203593165
2,0,1,12.518235294117646,0.002853147658579691
2,0,2,12.235882352941175,0.0021620862854911313
2,0,3,12.855294117647059,0.0036781021727041556
2,0,4,14.362941176470585,0.007368081962758264
2,0,5,17.518823529411765,0.015092132518216849
2,0,6,28.65529411764706,0.04234874484178473
2,0,7,26.529999999999994,0.037147068298099384
2,0,8,23.288235294117648,0.02921281990832639
2,0,9,23.127647058823534,0.02881977875238229
2,0,10,21.91352941176471,0.025848214848101483
2,0,11,21.747058823529414,0.025440776580218014
2,0,12,21.671176470588236,0.02525505383620046
2,0,13,22.158823529411762,0.02644857441597215
2,0,14,22.109411764705882,0.02632763867568166
2,0,15,22.50764705882353,0.02730232315397532
2,0,16,21.953529411764702,0.025946115209289012
2,0,17,24.810588235294116,0.03293879247822887
2,0,18,34.01529411764706,0.055467393240915874
2,0,19,23.698823529411765,0.03021773832169267
