month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,18.87611111111111,0.016009853605372222
1,0,1,18.175555555555558,0.014283314188937232
1,0,2,18.08277777777778,0.014054660673834422
1,0,3,18.533888888888892,0.015166437046669645
1,0,4,20.09777777777778,0.019020686418013417
1,0,5,22.810000000000002,0.02570503648227642
1,0,6,37.51777777777779,0.061952779948335125
1,0,7,34.17444444444445,0.05371303830828294
1,0,8,28.671666666666663,0.04015128341550845
1,0,9,27.96666666666667,0.03841379053727214
1,0,10,25.549444444444447,0.03245647650007257
1,0,11,23.99055555555556,0.028614549773255296
1,0,12,22.33722222222222,0.02453986198315969
1,0,13,21.62277777777778,0.022779092998595547
1,0,14,21.234444444444442,0.021822034273704133
1,0,15,20.92055555555556,0.021048446033985056
1,0,16,21.932222222222222,0.023541727776513297
1,0,17,31.781666666666663,0.04781596831099067
1,0,18,33.82944444444444,0.05286277583595451
1,0,19,27.178888888888892,0.036472289432986006
1,0,20,25.47166666666666,0.03226479091854923
1,0,21,23.837222222222223,0.028236655341109328
1,0,22,22.216111111111115,0.0242413801490734
1,0,23,20.30611111111111,0.019534129939950864
1,1,0,17.767894736842106,0.01327862231765977
1,1,1,16.841052631578947,0.01099439315858984
1,1,2,17.40315789473684,0.012379717827463589
1,1,3,17.86157894736842,0.01350950976247206
1,1,4,20.234736842105267,0.019358225990891327
1,1,5,24.97684210526316,0.03104528148391804
1,1,6,44.44105263157895,0.07901539094486298
1,1,7,41.83894736842105,0.07260242730917774
1,1,8,33.01736842105263,0.05086139100300451
1,1,9,30.78421052631579,0.04535770882132722
1,1,10,27.79,0.037978390430669175
1,1,11,25.84421052631579,0.03318293602914645
1,1,12,24.69473684210526,0.0303500249085282
1,1,13,23.58473684210526,0.027614397823645477
1,1,14,22.549473684210522,0.02506296184642199
1,1,15,22.888947368421054,0.02589960455374745
1,1,16,24.51,0.029894735621285994
1,1,17,39.813157894736854,0.06760981059523108
1,1,18,44.79631578947368,0.07989094726648263
1,1,19,34.05052631578947,0.05340763849832209
1,1,20,30.390526315789472,0.044387462704925
1,1,21,27.732105263157894,0.03783570717825708
1,1,22,24.727894736842106,0.030431743498546042
1,1,23,22.75105263157895,0.025559758988911385
1,2,0,21.46111111111111,0.022380660825572073
1,2,1,20.713333333333328,0.02053774087749792
1,2,2,20.783333333333335,0.020710257900868917
1,2,3,21.705555555555556,0.02298310122464535
1,2,4,25.81833333333333,0.033119160939053156
1,2,5,39.772222222222226,0.06750892344706089
1,2,6,130.26444444444445,0.2905296208185361
1,2,7,130.65111111111113,0.29148257199525207
1,2,8,59.166666666666664,0.1153070923826244
1,2,9,35.327222222222225,0.056554092463003476
1,2,10,31.159444444444446,0.046282483658804184
1,2,11,28.092777777777776,0.038724595015884926
1,2,12,26.405555555555555,0.03456638707955418
1,2,13,25.133888888888887,0.031432327821647996
1,2,14,23.802777777777777,0.028151766012149
1,2,15,23.45888888888889,0.02730424190527092
1,2,16,24.226111111111113,0.029195083248725898
1,2,17,34.38833333333333,0.05424017365747203
1,2,18,37.52277777777778,0.06196510259286161
1,2,19,30.745555555555555,0.04526244252855511
1,2,20,29.03222222222223,0.041039883004141554
1,2,21,26.723888888888887,0.035350928781074605
1,2,22,24.60944444444444,0.030139819329090788
1,2,23,22.62277777777778,0.0252436219038953
1,3,0,20.351764705882356,0.01964664454389544
1,3,1,19.38823529411765,0.01727199845749485
1,3,2,19.445294117647062,0.01741262157738549
1,3,3,20.248823529411766,0.019392943038938106
1,3,4,22.52,0.024990323099739482
1,3,5,28.81764705882353,0.04051105631158603
1,3,6,55.06588235294118,0.10520059090704814
1,3,7,49.05647058823529,0.09039022190908208
1,3,8,34.22470588235294,0.053836909074830346
1,3,9,30.30764705882353,0.04418320438048267
1,3,10,27.878823529411765,0.03819729858637521
1,3,11,25.64941176470588,0.03270284885044223
1,3,12,24.528823529411767,0.029941126753621053
1,3,13,23.520000000000007,0.027454852005039256
1,3,14,22.555882352941175,0.025078756195753178
1,3,15,22.607058823529414,0.025204882086789115
1,3,16,23.97529411764706,0.02857693751839336
1,3,17,32.944705882352935,0.05068231207604664
1,3,18,34.71235294117646,0.05503872934688533
1,3,19,28.241176470588236,0.039090327883825014
1,3,20,26.19882352941177,0.03405689002547164
1,3,21,24.208823529411763,0.02915247750392512
1,3,22,23.148823529411768,0.026540076864307392
1,3,23,21.69588235294118,0.022959261337195405
1,4,0,19.54,0.01764602696194622
1,4,1,18.28705882352941,0.01455811721589418
1,4,2,18.21588235294118,0.014382700746752262
1,4,3,18.82588235294118,0.015886063378985113
1,4,4,20.407647058823528,0.019784368218015123
1,4,5,23.74764705882353,0.0280158947617163
1,4,6,38.782941176470594,0.06507081171434081
1,4,7,34.474117647058826,0.05445159157826982
1,4,8,28.06235294117647,0.038649612126641995
1,4,9,25.774705882352944,0.03301163982504745
1,4,10,24.508235294117647,0.029890386452629578
1,4,11,22.84882352941176,0.025800718192717446
1,4,12,21.55,0.022599730061598725
1,4,13,20.72294117647059,0.02056141968462729
1,4,14,19.98705882352941,0.018747816354903753
1,4,15,19.79411764705882,0.01827230724846944
1,4,16,20.782941176470587,0.020709291418945265
1,4,17,30.825882352941175,0.04546041024258212
1,4,18,31.73058823529412,0.04769008404043568
1,4,19,26.295294117647053,0.03429464457868877
1,4,20,24.098235294117647,0.02887992960145668
1,4,21,23.363529411764706,0.0270692257175041
1,4,22,21.264117647058825,0.021895164739260092
1,4,23,20.238823529411764,0.019368297749885105
1,5,0,20.753529411764706,0.020636805274671745
1,5,1,19.237058823529416,0.016899419675928957
1,5,2,18.524705882352944,0.015143805261624246
1,5,3,18.43176470588235,0.014914749045719905
1,5,4,19.520588235294124,0.017598186106725713
1,5,5,20.822941176470586,0.020807872575157253
1,5,6,24.876470588235293,0.03079791297893407
1,5,7,27.526470588235295,0.03732891457797843
1,5,8,32.09764705882353,0.04859471112096924
1,5,9,30.59705882352941,0.04489646804013412
1,5,10,26.56294117647059,0.03495426849157784
1,5,11,24.42176470588235,0.02967727718846542
1,5,12,21.959411764705887,0.023608737189886167
1,5,13,20.538235294117644,0.020106206698589556
1,5,14,20.017058823529418,0.018821752222062768
1,5,15,19.584117647058825,0.017754756178356514
1,5,16,20.213529411764707,0.019305959665809884
1,5,17,27.107647058823527,0.036296711883523465
1,5,18,30.978823529411763,0.04583733819280444
1,5,19,26.021764705882354,0.03362052343694503
1,5,20,23.928823529411762,0.02846240941044119
1,5,21,22.740588235294112,0.025533969181790885
1,5,22,21.697058823529414,0.02296216078296634
1,5,23,20.472352941176467,0.019943837735416865
1,6,0,19.337222222222223,0.017146275267260445
