month_of_year,day_of_week,hour_of_day,Price,NormalizedPrice
1,0,0,19.44055555555555,0.019854625438040233
1,0,1,18.52166666666667,0.017587013887527984
1,0,2,18.53055555555555,0.017608949670362434
1,0,3,19.089999999999993,0.018989533002506224
1,0,4,20.60666666666667,0.022732325948635914
1,0,5,23.643333333333334,0.030226137759458174
1,0,6,39.02888888888889,0.06819423587305344
1,0,7,35.55611111111111,0.05962419971691549
1,0,8,30.624444444444446,0.047453953203071886
1,0,9,30.778333333333332,0.04783371644339346
1,0,10,28.572222222222226,0.042389529341166035
1,0,11,26.183888888888887,0.036495658690832156
1,0,12,25.21722222222222,0.03411014230758466
1,0,13,24.755000000000003,0.03296948160019278
1,0,14,24.430000000000003,0.03216745454030785
1,0,15,23.897777777777776,0.030854049543094574
1,0,16,24.983333333333334,0.03353295702175296
1,0,17,35.241666666666674,0.0588482213991465
1,0,18,37.150000000000006,0.06355755977641954
1,0,19,31.24388888888889,0.04898260306934829
1,0,20,29.321111111111108,0.04423761904496923
1,0,21,27.334999999999997,0.03933634256789467
1,0,22,23.985000000000003,0.03106929441215772
1,0,23,21.96333333333333,0.026080274803745303
1,1,0,20.13263157894737,0.02156251374037191
1,1,1,19.004736842105263,0.018779122664528334
1,1,2,19.034210526315793,0.018851857102347862
1,1,3,19.90105263157895,0.02099102887178993
1,1,4,22.385263157894737,0.02712150291657837
1,1,5,28.762631578947367,0.04285941689977786
1,1,6,47.815263157894734,0.08987703563311297
1,1,7,45.32368421052632,0.08372837797886964
1,1,8,37.03842105263158,0.06328220797610276
1,1,9,34.961052631578944,0.0581557289390731
1,1,10,32.140526315789465,0.051195303005593995
1,1,11,30.49315789473685,0.04712996746318136
1,1,12,29.492631578947375,0.04466089306505787
1,1,13,28.33368421052631,0.04180087106365442
1,1,14,28.333684210526318,0.041800871063654446
1,1,15,28.841578947368422,0.043054241286794456
1,1,16,30.45578947368421,0.047037750586660154
1,1,17,46.742105263157896,0.08722872279893423
1,1,18,52.20684210526316,0.10071446686822205
1,1,19,41.926315789473676,0.07534443519092272
1,1,20,37.699473684210524,0.06491353751005494
1,1,21,34.665263157894735,0.0574257869023843
1,1,22,27.657894736842106,0.0401331743107925
1,1,23,25.163157894736845,0.03397672368106851
1,2,0,23.91611111111111,0.030899292095190645
1,2,1,22.727777777777774,0.027966752127508824
1,2,2,23.39333333333333,0.02960919386723899
1,2,3,24.779444444444444,0.033029805002987536
1,2,4,29.143888888888885,0.043800274374707196
1,2,5,43.39166666666668,0.07896059228549167
1,2,6,134.5238888888889,0.30385446382293435
1,2,7,135.29888888888888,0.3057669898888138
1,2,8,64.23166666666665,0.13038903514088213
1,2,9,37.75833333333334,0.06505878991415287
1,2,10,34.03611111111112,0.055873180852222926
1,2,11,30.379444444444445,0.046849348188697085
1,2,12,28.610555555555557,0.042484127404639624
1,2,13,27.15666666666667,0.03889625592477834
1,2,14,26.25333333333333,0.03666703199422637
1,2,15,25.99555555555555,0.036030894292027035
1,2,16,27.028333333333332,0.03857955806010582
1,2,17,37.745000000000005,0.06502588623990119
1,2,18,42.003888888888895,0.07553586819046164
1,2,19,35.61277777777778,0.05976404033248518
1,2,20,33.63444444444445,0.054881957665390765
1,2,21,31.045555555555552,0.048493160914854394
1,2,22,26.830555555555556,0.03809148689203909
1,2,23,24.063888888888894,0.03126397448481355
1,3,0,22.402941176470588,0.02716512829892601
1,3,1,21.128823529411765,0.024020891897639573
1,3,2,21.51470588235294,0.024973162940688454
1,3,3,22.47,0.027330614425309502
1,3,4,25.201176470588234,0.03407054499371805
1,3,5,32.965294117647055,0.0532306448370143
1,3,6,65.0229411764706,0.1323417230444512
1,3,7,58.347647058823526,0.11586859530585536
1,3,8,42.76058823529412,0.07740323235050543
1,3,9,36.63294117647058,0.06228157464404149
1,3,10,31.135294117647057,0.04871461554596994
1,3,11,28.664117647058827,0.042616306625469336
1,3,12,26.77294117647059,0.03794930753491721
1,3,13,26.03705882352941,0.03613331504276146
1,3,14,25.029411764705884,0.0336466682489463
1,3,15,24.736470588235296,0.03292375517053418
1,3,16,25.41588235294118,0.03460039092468277
1,3,17,35.137058823529415,0.05859007271953949
1,3,18,37.61411764705882,0.06470289796691582
1,3,19,31.13941176470589,0.04872477697478299
1,3,20,29.94882352941177,0.045786672415132124
1,3,21,27.310000000000002,0.039274648178672766
1,3,22,24.93941176470588,0.03342456844774738
1,3,23,23.269411764705886,0.0293033832477233
1,4,0,20.62647058823529,0.022781197582450907
1,4,1,19.09529411764706,0.019002597696694417
1,4,2,19.26764705882353,0.019427926074153754
1,4,3,19.706470588235295,0.020510844059084352
1,4,4,21.45235294117647,0.024819289875805565
1,4,5,25.82588235294118,0.03561217890792222
1,4,6,43.10352941176472,0.0782495342073614
1,4,7,38.64235294117647,0.06724035190479612
1,4,8,31.69352941176471,0.050092214966478185
1,4,9,29.12705882352941,0.04375874155059048
1,4,10,27.781176470588235,0.04043740596141995
1,4,11,26.009999999999998,0.03606653993913303
1,4,12,24.766470588235293,0.03299778843760047
1,4,13,24.1264705882353,0.031418412073519406
1,4,14,23.650000000000006,0.03024258959658403
1,4,15,22.985294117647054,0.02860224465962478
1,4,16,24.49,0.03231552107444044
1,4,17,34.98117647058823,0.05820539005733222
1,4,18,34.809411764705885,0.05778151331256047
1,4,19,29.11764705882353,0.0437355154275893
1,4,20,27.281176470588235,0.0392035181769816
1,4,21,25.832941176470587,0.03562959850017311
1,4,22,22.667647058823526,0.027818363008334537
1,4,23,21.598235294117647,0.025179294782324047
1,5,0,22.706470588235295,0.02791417076571447
1,5,1,21.026470588235295,0.023768307810001606
1,5,2,20.270588235294117,0.021902959806468326
1,5,3,20.46470588235294,0.02238199859336792
1,5,4,21.479411764705876,0.024886064979433974
1,5,5,23.245882352941177,0.029245317940220315
1,5,6,29.531764705882352,0.04475746483964177
1,5,7,32.00705882352941,0.050865935188955394
1,5,8,36.158235294117645,0.06111010706516887
1,5,9,33.605882352941165,0.054811472833782945
1,5,10,28.73176470588235,0.0427832443845404
1,5,11,26.26294117647059,0.036690741994790096
1,5,12,23.53647058823529,0.02996242448788212
1,5,13,21.859999999999996,0.025825271328294704
1,5,14,21.357647058823524,0.024585577013106052
1,5,15,20.882941176470588,0.02341410943423342
1,5,16,21.148823529411764,0.024070247409017104
1,5,17,28.31294117647059,0.04174968191098734
1,5,18,32.362941176470585,0.05174417296493798
1,5,19,27.20352941176471,0.03901190266222178
1,5,20,25.32176470588235,0.03436812969467083
1,5,21,24.00941176470588,0.03112953716869205
1,5,22,21.999411764705876,0.026169308275249863
1,5,23,21.23235294117647,0.024276379250652683
1,6,0,20.581111111111113,0.022669260572986846
1,6,1,18.839999999999996,0.018372589110287055
1,6,2,18.21666666666667,0.016834342339020595
1,6,3,18.545,0.017644595317468443
1,6,4,19.262777777777778,0.019415909781351052
1,6,5,20.928888888888892,0.023527498076385076
1,6,6,27.073888888888888,0.038691978947132416
